case,min_ps,median_ps,median_lower_ps,median_upper_ps,median_confidence_ppm,ordered_samples_ps,iterations_per_sample
geometry/chain-x/64,32804587,33681651,33448623,34066055,964799,32804587;32872477;32878899;32881651;32882568;32904587;32924770;33000917;33010091;33018348;33022018;33027522;33044036;33088073;33108256;33118348;33122018;33127522;33139449;33145871;33147706;33155963;33169724;33173394;33188990;33219266;33225688;33244954;33254128;33256880;33257798;33287155;33317431;33344954;33364220;33388073;33422018;33422018;33433944;33448623;33475229;33478899;33488073;33500000;33509174;33518348;33522935;33545871;33658715;33678899;33684403;33714678;33783486;33859633;33862385;33882568;33919266;33964220;34011009;34044954;34066055;34074311;34089908;34124770;34153211;34293577;34594495;35096330;35156880;35422935;35511926;35715596;35900917;36361467;36426605;36744036;36814678;36942201;37231192;37339449;37619266;38329357;40646788;43802752;45135779;49187155;49939449;53405504;60474311;64723853;67722935;73477981;80210091;81671559;85150458;89156880;96069724;109076146;112687155;115637614,109
geometry/chain-y/64,32276666,33157777,32921111,33576666,964799,32276666;32295555;32358888;32432222;32460000;32500000;32558888;32562222;32576666;32590000;32607777;32616666;32622222;32622222;32651111;32655555;32673333;32681111;32691111;32695555;32700000;32725555;32743333;32760000;32774444;32787777;32788888;32796666;32801111;32812222;32826666;32827777;32830000;32835555;32856666;32864444;32868888;32877777;32913333;32921111;32956666;32964444;32968888;32986666;32987777;32993333;33030000;33036666;33077777;33140000;33175555;33192222;33220000;33220000;33230000;33312222;33406666;33467777;33521111;33560000;33576666;33611111;33658888;33693333;33716666;33758888;33843333;33968888;33986666;34006666;34008888;34230000;34307777;34354444;34505555;34707777;34830000;35178888;36051111;36316666;36435555;37126666;37943333;38696666;40308888;52762222;53936666;54723333;58104444;62456666;68425555;80447777;91607777;102390000;109738888;117921111;129903333;171447777;181261111;268458888,90
geometry/chain-z/64,32192708,33380208,33193750,35040625,964799,32192708;32297916;32380208;32447916;32463541;32483333;32483333;32528125;32533333;32596875;32602083;32630208;32705208;32762500;32772916;32782291;32805208;32816666;32835416;32861458;32863541;32864583;32894791;32927083;32929166;32932291;32938541;32939583;32988541;32996875;33006250;33010416;33010416;33041666;33053125;33072916;33110416;33142708;33190625;33193750;33193750;33203125;33208333;33215625;33221875;33223958;33230208;33232291;33239583;33344791;33415625;33423958;33434375;33471875;33475000;33514583;33605208;33656250;33798958;34357291;35040625;35066666;35080208;35111458;35204166;35471875;36278125;36614583;36760416;36777083;36783333;36958333;36969791;37786458;38200000;38741666;38848958;38857291;39391666;41455208;41595833;44471875;45957291;50582291;51939583;55180208;59232291;59694791;61362500;69417708;71413541;73127083;74523958;81373958;86217708;91361458;108431250;114855208;150541666;169864583,96
geometry/inverse-y/64,38829885,41025861,40467816,42459770,964799,38829885;38990804;39001149;39077011;39135632;39218390;39226436;39234482;39272413;39287356;39296551;39400000;39420689;39462068;39529885;39620689;39626436;39634482;39751724;39778160;39781609;39787356;39808045;39822988;39865517;39921839;39960919;40036781;40045977;40057471;40158620;40185057;40195402;40204597;40208045;40231034;40282758;40324137;40397701;40467816;40471264;40666666;40687356;40745977;40748275;40831034;40844827;40900000;40957471;41017241;41034482;41555172;41583908;41617241;41712643;42096551;42140229;42271264;42291954;42349425;42459770;42681609;43113793;43788505;43839080;43856321;43887356;44682758;45075862;46351724;46521839;46645977;46824137;46968965;48298850;48651724;51368965;52229885;52412643;58959770;64355172;64380459;65679310;67424137;69157471;71008045;71068965;71804597;73441379;75083908;85728735;86591954;88800000;100455172;117220689;117834482;146767816;153891954;180000000;188460919,87
geometry/inverse-x/64,38993421,42273026,41022368,44011842,964799,38993421;39207894;39302631;39393421;39405263;39422368;39436842;39603947;39610526;39647368;39673684;39727631;39731578;39734210;39784210;39814473;39844736;39932894;39968421;40053947;40057894;40061842;40069736;40146052;40155263;40177631;40278947;40297368;40351315;40409210;40514473;40648684;40671052;40686842;40860526;40867105;40884210;40893421;41006578;41022368;41114473;41189473;41381578;41423684;41434210;41438157;41936842;42160526;42161842;42247368;42298684;42331578;42402631;42878947;42992105;43367105;43794736;43857894;43880263;43965789;44011842;44046052;44163157;44273684;44665789;44669736;44682894;44857894;45019736;45118421;45273684;46613157;47769736;47925000;49315789;49422368;51318421;51465789;53394736;53596052;54105263;58286842;58871052;63425000;63780263;64010526;64855263;66906578;75998684;87330263;99231578;104593421;106138157;113464473;117553947;127031578;127489473;128427631;186282894;195432894,76
geometry/wide-serial/64,163009523,165485714,164809523,166438095,964799,163009523;163314285;163357142;163395238;163452380;163490476;163538095;163566666;163571428;163633333;163671428;163809523;163809523;163914285;163919047;163995238;164004761;164076190;164076190;164090476;164090476;164152380;164314285;164342857;164352380;164366666;164380952;164390476;164490476;164509523;164528571;164528571;164542857;164566666;164619047;164638095;164671428;164719047;164780952;164809523;164885714;164928571;164938095;165061904;165228571;165238095;165319047;165361904;165371428;165371428;165600000;165628571;165695238;165723809;166033333;166052380;166109523;166109523;166314285;166352380;166438095;166476190;167561904;168604761;169376190;170900000;176519047;177766666;186376190;186838095;186871428;186876190;186980952;187004761;187147619;187185714;187219047;187333333;187433333;187671428;187671428;187685714;187700000;187709523;187752380;187780952;187819047;187923809;188052380;188133333;188180952;188304761;188466666;188642857;188666666;188795238;190080952;190423809;190604761;190990476,21
geometry/tall-serial/64,188790476,190057142,189847619,190347619,964799,188790476;188790476;188976190;189057142;189176190;189219047;189295238;189309523;189314285;189319047;189323809;189333333;189342857;189395238;189423809;189438095;189447619;189452380;189476190;189504761;189514285;189528571;189561904;189566666;189580952;189609523;189619047;189628571;189642857;189695238;189704761;189719047;189752380;189752380;189757142;189761904;189780952;189814285;189838095;189847619;189904761;189909523;189976190;189995238;190000000;190004761;190014285;190019047;190042857;190042857;190071428;190138095;190166666;190166666;190214285;190228571;190252380;190285714;190300000;190328571;190347619;190361904;190409523;190514285;190528571;190557142;190590476;190609523;190633333;190638095;190719047;190747619;190757142;190790476;190795238;190842857;190876190;190938095;191004761;191076190;191076190;191114285;191119047;191128571;191185714;191257142;191500000;191714285;192047619;192076190;192233333;192271428;194157142;194261904;194519047;194600000;197357142;200733333;205000000;208771428,21
geometry/tall-task-quarter-mib/64,29771428,31234126,30752380,31758730,964799,29771428;29788888;29873809;29901587;29907142;29921428;29924603;29944444;29953174;29998412;30019841;30060317;30072222;30126190;30151587;30176984;30182539;30269047;30304761;30318253;30321428;30339682;30346031;30390476;30410317;30430952;30450793;30460317;30461111;30519047;30536507;30555555;30566666;30581746;30620634;30629365;30644444;30650793;30688095;30752380;30765079;30811904;30842857;30932539;31026984;31034920;31071428;31117460;31165873;31200793;31267460;31348412;31353174;31417460;31444444;31497619;31650793;31665079;31700793;31714285;31758730;31813492;31829365;31910317;31924603;32003968;32196825;32446825;32489682;32525396;32530952;32696825;32747619;32950793;32971428;33111904;33145238;33161904;33356349;34036507;34168253;35593650;35673015;35771428;36215079;36828571;37524603;38835714;40385714;44176190;46823015;49123015;49976190;50340476;55975396;59122222;69590476;74761111;89544444;110265079,126
geometry/tall-task-half-mib/64,39502272,42928408,42138636,44102272,964799,39502272;39768181;39855681;39884090;40181818;40246590;40494318;40515909;40556818;40643181;40685227;40697727;40787500;40819318;40865909;41018181;41022727;41132954;41207954;41280681;41309090;41400000;41421590;41429545;41487500;41518181;41598863;41636363;41668181;41686363;41793181;41902272;41920454;41955681;42017045;42035227;42063636;42082954;42110227;42138636;42234090;42305681;42310227;42320454;42353409;42355681;42543181;42571590;42642045;42835227;43021590;43032954;43106818;43226136;43232954;43475000;43528409;43605681;43745454;43851136;44102272;44106818;44203409;44337500;44700000;44927272;45231818;45238636;45565909;45896590;46398863;46543181;47222727;47961363;48889772;49578409;49990909;51731818;51881818;52635227;53372727;54747727;55881818;58790909;59872727;61907954;62425000;62450000;62711363;66959090;67225000;68269318;68926136;74876136;77936363;84911363;91576136;96565909;99820454;102309090,88
geometry/wide-task-quarter-mib/64,39643529,42161176,41568235,42981176,964799,39643529;39643529;39865882;39875294;39920000;39988235;40004705;40097647;40162352;40168235;40211764;40327058;40334117;40380000;40382352;40387058;40395294;40414117;40428235;40474117;40478823;40518823;40543529;40551764;40592941;40722352;40761176;40880000;40905882;40965882;41188235;41196470;41260000;41281176;41295294;41307058;41367058;41395294;41542352;41568235;41625882;41675294;41768235;41777647;41800000;41883529;41884705;41937647;42025882;42101176;42221176;42280000;42608235;42643529;42664705;42678823;42694117;42862352;42895294;42956470;42981176;43101176;43457647;43608235;43771764;43860000;43910588;44088235;44103529;44134117;44147058;44349411;44583529;44711764;44980000;45036470;45092941;45738823;45945882;46088235;46130588;46222352;47520000;47861176;48661176;49047058;50754117;52180000;53628235;54490588;56035294;61764705;62550588;64050588;69482352;71523529;72658823;89674117;140020000;141087058,85
geometry/full-pair/64,530450000,571791666,554500000,579983333,964799,530450000;533400000;535633333;538666666;539600000;540183333;540233333;540366666;540966666;541233333;541550000;541583333;541600000;541750000;541966666;542033333;542483333;543100000;543150000;543150000;543433333;543600000;544166666;544233333;544783333;544833333;544883333;545233333;545333333;545616666;547283333;548666666;548900000;550400000;550483333;550950000;551916666;552016666;554366666;554500000;555283333;556516666;557950000;558450000;559033333;559783333;559783333;567300000;569133333;571750000;571833333;573150000;573433333;574216666;574400000;575033333;576316666;577333333;577966666;578833333;579983333;580216666;582150000;585966666;591866666;595033333;595916666;597083333;597166666;599500000;600116666;604866666;606283333;607083333;625550000;626100000;628716666;635616666;653400000;665266666;666683333;683866666;701650000;719250000;739433333;746250000;837750000;841116666;907416666;918500000;982650000;993383333;1002333333;1051583333;1087033333;1296866666;1580800000;1658433333;1691600000;1760533333,6
geometry/rotated-pair/64,532600000,563514285,552814285,584700000,964799,532600000;534471428;534857142;535257142;535628571;535657142;536314285;537714285;537914285;537985714;538214285;538385714;538471428;538728571;540257142;541085714;542085714;542800000;543128571;543657142;543714285;544328571;545728571;546000000;546471428;547257142;547357142;547414285;547971428;548600000;549128571;549185714;550228571;550471428;550814285;551171428;551442857;552214285;552685714;552814285;553485714;553500000;554628571;555357142;555857142;558814285;559242857;560728571;560828571;562442857;564585714;566714285;571657142;573385714;574500000;578914285;579257142;580971428;582671428;583500000;584700000;587500000;595014285;597428571;597542857;605185714;607442857;609400000;609985714;610357142;624100000;631057142;644728571;657328571;672485714;698142857;713642857;743142857;750142857;767185714;776885714;781328571;784814285;818957142;830585714;850457142;866728571;889428571;928214285;947200000;953514285;975285714;983342857;1105271428;1116971428;1131528571;1215742857;1533914285;1549157142;1838842857,7
geometry/rotated-task-quarter-mib/64,466983333,488033333,482600000,494866666,964799,466983333;470500000;470583333;470700000;471883333;472050000;473000000;473316666;473383333;473450000;473566666;473666666;473866666;473933333;474200000;474616666;474833333;474916666;475483333;475583333;475666666;475716666;475983333;476116666;476816666;476816666;476933333;477300000;477316666;477600000;477683333;477966666;478066666;478100000;479750000;480566666;481266666;482033333;482183333;482600000;483383333;484050000;484216666;485983333;486116666;486366666;487100000;487466666;487716666;487883333;488183333;488666666;489216666;489616666;490450000;490933333;491283333;491733333;491950000;492250000;494866666;495950000;496600000;496900000;497466666;503250000;504950000;506150000;510100000;511283333;512033333;518300000;529300000;529950000;534216666;545266666;546150000;547883333;548166666;549216666;550516666;554300000;575800000;576100000;659283333;674200000;710633333;720866666;723916666;911400000;954166666;1139350000;1301916666;1342066666;1397200000;1418650000;1572233333;1736566666;1954500000;2157600000,6
