case,min_ps,median_ps,median_lower_ps,median_upper_ps,median_confidence_ppm,ordered_samples_ps,iterations_per_sample
geometry/rotated-task-quarter-mib/64,466871428,490485713,484842857,500214285,964799,466871428;469657142;470242857;471628571;472342857;473614285;473957142;473957142;474071428;474128571;474271428;474442857;474771428;475085714;475200000;475742857;475785714;475871428;475985714;476057142;476114285;476242857;476671428;476785714;477857142;478542857;478585714;478628571;479042857;479642857;479700000;479900000;480142857;480714285;480814285;480928571;482357142;482614285;483500000;484842857;484857142;484900000;485471428;485528571;485785714;486657142;488614285;488771428;489028571;490314285;490657142;492500000;493000000;495528571;496157142;496642857;497485714;497885714;498800000;499471428;500214285;502442857;506657142;509571428;512671428;518114285;523042857;523314285;525271428;530714285;534171428;538200000;543114285;546871428;554985714;568014285;578514285;607071428;640714285;672757142;680485714;707871428;712842857;829628571;852771428;855985714;860785714;871914285;912071428;966842857;976242857;1082042857;1104457142;1147885714;1150257142;1211928571;1364871428;1439842857;1483000000;2018857142,7
geometry/rotated-pair/64,527125000,546462500,539200000,561100000,964799,527125000;528200000;528575000;530550000;531250000;531800000;532250000;532275000;532325000;532350000;532625000;532775000;532850000;532950000;533125000;534025000;534150000;534175000;534250000;534400000;535100000;535325000;535400000;535500000;535675000;535900000;535950000;536475000;536500000;536625000;536750000;537000000;537075000;537125000;537450000;537750000;538800000;538925000;539050000;539200000;539275000;540750000;541725000;542025000;542775000;543125000;543525000;543650000;545675000;546175000;546750000;546950000;548150000;549725000;550925000;552075000;553050000;554150000;556275000;556650000;561100000;562400000;563275000;564025000;564250000;564600000;564875000;565875000;570375000;570600000;572000000;573050000;573400000;575475000;577525000;582725000;583075000;588000000;590600000;609450000;618125000;624175000;636275000;638300000;650375000;675900000;687050000;722350000;727425000;802425000;803100000;857000000;892000000;962400000;1137400000;1196875000;1232000000;1321375000;1396475000;2162275000,4
geometry/full-pair/64,532950000,554516666,546666666,569933333,964799,532950000;533716666;533800000;534916666;534933333;535600000;535616666;535833333;536116666;536633333;536716666;536800000;536850000;537200000;537233333;537233333;537383333;537533333;537716666;537966666;538216666;538466666;538783333;538850000;539416666;539616666;539783333;540033333;540816666;542516666;542650000;543333333;543416666;543766666;544216666;544366666;544816666;545083333;545183333;546666666;547316666;547716666;548066666;548933333;551250000;552933333;553416666;553816666;553866666;554450000;554583333;555500000;556066666;558900000;558916666;561933333;564966666;567350000;567883333;569683333;569933333;572850000;574866666;578250000;581566666;581900000;588383333;588416666;588833333;591516666;595033333;597000000;601350000;601716666;611983333;619733333;626000000;640533333;650766666;768750000;798183333;863883333;865050000;892616666;901916666;928983333;951583333;953066666;1091016666;1111216666;1229783333;1264683333;1269416666;1301150000;1363183333;1423750000;1545650000;1699366666;1796400000;2484350000,6
geometry/wide-task-quarter-mib/64,40040476,41505356,41145238,42046428,964799,40040476;40134523;40140476;40257142;40301190;40342857;40353571;40358333;40384523;40408333;40409523;40410714;40414285;40439285;40484523;40484523;40485714;40530952;40578571;40622619;40626190;40655952;40714285;40735714;40738095;40741666;40760714;40772619;40801190;40819047;40848809;40922619;40930952;40975000;41059523;41089285;41102380;41116666;41142857;41145238;41147619;41189285;41239285;41373809;41417857;41425000;41430952;41441666;41461904;41479761;41530952;41569047;41611904;41630952;41634523;41658333;41683333;41686904;41973809;41978571;42046428;42057142;42080952;42122619;42182142;42188095;42259523;42314285;42385714;42403571;42548809;42584523;42626190;42775000;42904761;42976190;43120238;43195238;43370238;43521428;43754761;44282142;44500000;44602380;45385714;45665476;46292857;48422619;53854761;56519047;58083333;58842857;60509523;64995238;73436904;76310714;82526190;83426190;85707142;91898809,84
geometry/tall-task-half-mib/64,39794505,41403846,41126373,41897802,964799,39794505;39897802;39928571;39929670;39994505;40017582;40056043;40074725;40117582;40147252;40151648;40178021;40200000;40219780;40320879;40331868;40332967;40367032;40371428;40496703;40500000;40613186;40747252;40761538;40775824;40779120;40796703;40808791;40863736;40869230;40878021;40892307;40920879;40985714;41004395;41026373;41052747;41079120;41105494;41126373;41138461;41213186;41215384;41295604;41326373;41350549;41357142;41358241;41371428;41387912;41419780;41467032;41481318;41580219;41609890;41613186;41697802;41749450;41808791;41828571;41897802;42184615;42202197;42370329;42395604;42487912;42621978;42897802;43325274;43337362;43751648;43859340;43946153;44013186;44228571;44747252;45583516;45974725;46047252;47907692;48120879;48864835;49157142;51149450;51215384;53481318;54296703;55761538;56558241;60541758;62426373;66275824;67365934;73778021;75727472;81171428;82938461;84300000;100556043;106307692,91
geometry/tall-task-quarter-mib/64,29340000,31275713,30766666,31568571,964799,29340000;29467619;29520000;29588571;29591428;29632380;29688571;29884761;29888571;29936190;29941904;29959047;30014285;30136190;30161904;30169523;30187619;30223809;30234285;30240952;30252380;30257142;30270476;30280000;30280000;30306666;30324761;30329523;30365714;30398095;30400952;30458095;30477142;30486666;30494285;30535238;30545714;30655238;30738095;30766666;30775238;30777142;30865714;31062857;31120952;31149523;31172380;31193333;31214285;31272380;31279047;31300952;31349523;31354285;31360952;31451428;31467619;31489523;31508571;31527619;31568571;31585714;31590476;31601904;31787619;31954285;32027619;32062857;32123809;32240952;32275238;32544761;32618095;32818095;32967619;33120000;33162857;33189523;33513333;33731428;33753333;34319047;34471428;34490476;35150476;35164761;35711428;38951428;40860952;43470476;45181904;45543809;46069523;47945714;48118095;48453333;60569523;69303809;87783809;103023809,105
geometry/tall-serial/64,167423529,191926470,183447058,204288235,964799,167423529;168258823;168500000;169770588;170058823;170147058;170752941;170794117;171035294;171288235;171317647;171382352;172747058;172994117;174347058;174547058;174841176;174982352;174988235;175905882;176717647;177452941;178635294;178635294;179082352;179217647;179547058;179588235;179864705;180035294;180970588;181058823;181282352;181300000;181764705;182282352;182494117;182670588;183252941;183447058;184041176;184100000;184382352;185264705;185376470;186582352;186723529;188594117;190470588;191082352;192770588;193952941;195052941;195205882;197970588;200729411;201617647;202258823;202947058;204200000;204288235;204582352;206341176;211200000;214635294;215117647;218847058;221235294;225529411;227388235;227794117;229082352;229841176;229900000;230229411;230411764;232264705;233770588;234217647;236688235;236917647;237382352;239241176;244258823;248623529;248923529;251211764;252241176;258658823;259129411;261076470;261823529;264300000;264694117;265376470;270158823;281005882;293329411;297535294;309682352,17
geometry/wide-serial/64,166211111,290899999,228161111,343150000,964799,166211111;166350000;166372222;166433333;167455555;167588888;167955555;168533333;170222222;171327777;171505555;172583333;172744444;173744444;175061111;178188888;178483333;179227777;180183333;180894444;184494444;184905555;185644444;186666666;187450000;188011111;188383333;188944444;192016666;193672222;195688888;202744444;202988888;208027777;210927777;216022222;217488888;218861111;219905555;228161111;244533333;245372222;263094444;263611111;265777777;269977777;275161111;279061111;287716666;289494444;292305555;295300000;302111111;307577777;313594444;313811111;317194444;321061111;329633333;337972222;343150000;346483333;346872222;347433333;348105555;349005555;349227777;349727777;350344444;350916666;351872222;352711111;354188888;354944444;355583333;355716666;356216666;356666666;357066666;357205555;357972222;358733333;359050000;359866666;361383333;362733333;362922222;362966666;364266666;364338888;364777777;368200000;369422222;374366666;380455555;382244444;389583333;390322222;392083333;422027777,18
geometry/inverse-x/64,39047826,41815942,40840579,43286956,964799,39047826;39092753;39131884;39171014;39314492;39388405;39450724;39462318;39465217;39501449;39530434;39589855;39650724;39652173;39694202;39785507;39826086;39911594;39913043;39934782;39937681;39943478;40030434;40047826;40079710;40102898;40105797;40136231;40162318;40201449;40340579;40501449;40514492;40559420;40560869;40594202;40613043;40688405;40700000;40840579;40969565;41192753;41346376;41402898;41402898;41463768;41582608;41742028;41782608;41800000;41831884;42037681;42086956;42207246;42528985;42655072;42736231;42944927;42995652;43146376;43286956;43292753;44382608;44504347;44962318;45923188;46449275;46507246;46559420;46875362;47524637;47573913;47586956;49111594;50856521;51010144;51931884;52628985;53142028;53569565;54015942;54307246;57804347;62713043;63427536;63502898;63865217;68971014;75126086;77044927;81994202;96028985;97711594;98553623;106485507;109092753;110410144;112152173;157905797;236901449,69
geometry/inverse-y/64,38889705,43958823,42064705,47439705,964799,38889705;39100000;39101470;39150000;39152941;39183823;39223529;39245588;39276470;39413235;39497058;39610294;39630882;39635294;39707352;39783823;39889705;39892647;39935294;39957352;39976470;40066176;40095588;40127941;40139705;40266176;40342647;40366176;40392647;40404411;40475000;40501470;40550000;40570588;40922058;40961764;41311764;41508823;41660294;42064705;42260294;42447058;42467647;42716176;43014705;43123529;43345588;43586764;43661764;43755882;44161764;44529411;44752941;45870588;45911764;45945588;45997058;46138235;46376470;46777941;47439705;47617647;47733823;47794117;48404411;48413235;49683823;52814705;53417647;59744117;60673529;61470588;64579411;68216176;69447058;70485294;71744117;74650000;77045588;79619117;81664705;83839705;84202941;86630882;88397058;90489705;91169117;97895588;98276470;100110294;103702941;105925000;107479411;112536764;138130882;141110294;141780882;179552941;229169117;230207352,68
