case,min_ps,median_ps,median_lower_ps,median_upper_ps,median_confidence_ppm,ordered_samples_ps,iterations_per_sample
geometry/rotated-task-quarter-mib/64,459728571,488807142,482300000,494685714,964799,459728571;461271428;464485714;466028571;467414285;469085714;469828571;470285714;471214285;471571428;471700000;472771428;473371428;473414285;473685714;473685714;473928571;474285714;474328571;474357142;474428571;474557142;474757142;474900000;474900000;475114285;475200000;475214285;475414285;475514285;475614285;475614285;476528571;476585714;477714285;478614285;480242857;480514285;482257142;482300000;483000000;483914285;485114285;485742857;486000000;486457142;487128571;487700000;487728571;488528571;489085714;489957142;490128571;490242857;490500000;492057142;492257142;493014285;493828571;493871428;494685714;495042857;498214285;499528571;501871428;504600000;505485714;506742857;508842857;512214285;516685714;518057142;519885714;528114285;532700000;542942857;545300000;573971428;580871428;607800000;613585714;618514285;629442857;657671428;672014285;707371428;784357142;867857142;869571428;890828571;1013428571;1030242857;1072728571;1107300000;1167442857;1242628571;1513585714;1556357142;1596385714;2252914285,7
geometry/rotated-pair/64,531216666,580658333,559966666,615116666,964799,531216666;534366666;534916666;535966666;536416666;536566666;536700000;536833333;537016666;537333333;537566666;537600000;537916666;538166666;538800000;538933333;539416666;539966666;539966666;540083333;540166666;540300000;541583333;542883333;543883333;544066666;544850000;548166666;550300000;551000000;553500000;553800000;554450000;554700000;554750000;556033333;556500000;556533333;559750000;559966666;560133333;561000000;562966666;563383333;566666666;567766666;568200000;570100000;574183333;576750000;584566666;591433333;592100000;593033333;594733333;596966666;600450000;600750000;609433333;614783333;615116666;620616666;624133333;636150000;644700000;673916666;676850000;701466666;708583333;716716666;732700000;773033333;775416666;775433333;784450000;822800000;839300000;852933333;863566666;884200000;897566666;924733333;957900000;1022133333;1027000000;1032033333;1117800000;1133000000;1134333333;1175366666;1215166666;1237700000;1281216666;1300650000;1495550000;1721500000;1870316666;1968716666;1974633333;2749200000,6
geometry/full-pair/64,531666666,565625000,557266666,576683333,964799,531666666;535216666;536350000;536833333;536866666;536950000;537316666;538483333;538950000;539233333;539300000;539316666;539516666;539916666;540000000;540216666;540483333;540900000;540916666;541466666;543233333;543266666;543683333;544333333;545300000;545333333;545550000;546416666;547016666;547483333;550216666;551000000;553683333;553900000;555216666;555783333;555866666;556033333;556516666;557266666;557383333;557716666;558433333;558450000;558550000;559783333;561216666;561650000;563400000;565350000;565900000;567000000;572483333;572816666;572816666;573033333;574650000;575083333;575400000;575883333;576683333;577066666;577100000;577133333;578566666;578916666;579883333;584850000;586133333;586333333;592116666;593683333;594800000;599866666;601666666;603466666;603900000;609133333;620633333;632800000;638516666;656750000;659600000;669583333;703583333;716216666;744983333;768133333;785750000;814950000;950700000;965916666;980066666;1026633333;1130516666;1186433333;1230800000;1450100000;1559383333;1571516666,6
geometry/wide-task-quarter-mib/64,39733333,41230728,41011458,41444791,964799,39733333;40030208;40045833;40051041;40081250;40112500;40179166;40316666;40318750;40409375;40468750;40488541;40492708;40539583;40548958;40565625;40595833;40623958;40626041;40667708;40673958;40679166;40682291;40709375;40709375;40734375;40742708;40748958;40789583;40809375;40836458;40882291;40883333;40927083;40937500;40952083;40965625;40973958;40977083;41011458;41025000;41069791;41100000;41103125;41161458;41168750;41184375;41192708;41218750;41222916;41238541;41271875;41273958;41303125;41316666;41318750;41358333;41384375;41427083;41439583;41444791;41489583;41564583;41652083;41692708;41811458;41814583;41830208;41843750;41876041;41956250;42031250;42095833;42212500;42225000;42303125;42314583;42328125;42343750;42359375;42362500;42428125;42495833;42557291;42655208;42848958;42873958;42922916;43388541;44050000;44052083;45652083;49588541;53825000;56654166;61433333;83907291;84757291;94730208;126982291,96
geometry/tall-task-half-mib/64,39581159,42189130,41705797,43257971,964799,39581159;39924637;39926086;40179710;40201449;40279710;40331884;40398550;40421739;40520289;40528985;40611594;40631884;40640579;40708695;40713043;40740579;40747826;40798550;40834782;40897101;40907246;41076811;41101449;41144927;41224637;41273913;41327536;41357971;41431884;41486956;41492753;41531884;41542028;41562318;41566666;41573913;41594202;41656521;41705797;41736231;41766666;41813043;41894202;41908695;41971014;42044927;42104347;42123188;42149275;42228985;42231884;42453623;42507246;42518840;42579710;42810144;42828985;42882608;43133333;43257971;43288405;43318840;43359420;43917391;43933333;44378260;44430434;44637681;44779710;45042028;45430434;45527536;45786956;46642028;47953623;48223188;50086956;50120289;52646376;54308695;57149275;58104347;62065217;62142028;65952173;66091304;68534782;76472463;77269565;78778260;79814492;80978260;81223188;81428985;87273913;88091304;99749275;103210144;111389855,69
geometry/tall-task-quarter-mib/64,29432038,30855825,30328155,31957281,964799,29432038;29432038;29589320;29595145;29604854;29708737;29724271;29755339;29763106;29796116;29797087;29818446;29835922;29847572;29867961;29868932;29900970;29905825;29940776;29958252;29966990;29972815;29989320;29995145;30009708;30034951;30048543;30055339;30084466;30092233;30114563;30135922;30200970;30212621;30228155;30270873;30302912;30324271;30328155;30328155;30360194;30365048;30371844;30564077;30600970;30640776;30642718;30744660;30822330;30851456;30860194;30864077;30925242;30950485;31194174;31275728;31380582;31472815;31749514;31889320;31957281;32428155;32430097;32442718;32642718;33033980;33354368;33439805;33441747;33784466;33863106;34416504;34785436;36094174;36300970;36665048;36674757;37856310;38296116;40213592;43289320;43482524;44602912;44615533;46343689;49502912;50622330;51678640;53836893;55101941;57496116;60368932;61494174;64437864;65065048;76007766;78904854;79531067;82237864;95900000,103
geometry/tall-serial/64,164647619,226904761,221609523,229071428,964799,164647619;165176190;165176190;165190476;165552380;165771428;165919047;165938095;166090476;166109523;166142857;166333333;166476190;166538095;166547619;166604761;166652380;166814285;166871428;167666666;168238095;168352380;168642857;168695238;169842857;169857142;170714285;173080952;174042857;204561904;214895238;215576190;217866666;218000000;219380952;219766666;220376190;220514285;220538095;221609523;222395238;223276190;223642857;223923809;225042857;225971428;226133333;226571428;226714285;226747619;227061904;227600000;227923809;228061904;228323809;228361904;228571428;228633333;228800000;229052380;229071428;229090476;229276190;229404761;229514285;229552380;230209523;230347619;231519047;231714285;231752380;231761904;232057142;232219047;233233333;233409523;234833333;234847619;235704761;235961904;236014285;236285714;236647619;237238095;237285714;239738095;239909523;240152380;240338095;241157142;241466666;241995238;242871428;247257142;247957142;251657142;258023809;260200000;272985714;276114285,21
geometry/wide-serial/64,160835000,163790000,163155000,164160000,964799,160835000;160950000;161455000;161480000;161540000;161650000;161845000;161900000;161940000;161955000;161960000;161960000;162020000;162060000;162095000;162235000;162255000;162335000;162435000;162495000;162570000;162580000;162585000;162610000;162625000;162750000;162750000;162760000;162760000;162815000;162965000;162970000;162990000;163010000;163020000;163070000;163090000;163100000;163130000;163155000;163280000;163295000;163335000;163390000;163395000;163570000;163680000;163715000;163765000;163775000;163805000;163810000;163815000;163975000;164025000;164085000;164085000;164090000;164115000;164145000;164160000;164170000;164180000;164180000;164185000;164210000;164215000;164235000;164320000;164385000;164535000;164540000;164635000;164690000;164765000;164770000;164805000;164860000;164945000;164955000;164985000;165205000;165250000;165285000;165300000;165435000;166225000;166380000;167535000;179435000;240305000;249465000;281085000;346795000;347145000;349090000;352910000;356845000;371115000;379600000,20
geometry/inverse-x/64,39073214,41973214,40883928,43771428,964799,39073214;39246428;39448214;39450000;39514285;39517857;39580357;39608928;39696428;39708928;39710714;39798214;39850000;39850000;39871428;39894642;39935714;40042857;40064285;40064285;40105357;40117857;40139285;40276785;40332142;40346428;40348214;40400000;40426785;40487500;40573214;40603571;40650000;40742857;40753571;40780357;40789285;40826785;40875000;40883928;40905357;40930357;41008928;41103571;41141071;41291071;41730357;41769642;41941071;41958928;41987500;41994642;42108928;42150000;42501785;42544642;42628571;42712500;42741071;42960714;43771428;44055357;44858928;45416071;46223214;46225000;46360714;46626785;46671428;46907142;47262500;48117857;48189285;49133928;49291071;49796428;51042857;53171428;53455357;53657142;53882142;54246428;54614285;54632142;56091071;64594642;67487500;71275000;75466071;76917857;90112500;101194642;104337500;111133928;115341071;119567857;156587500;156803571;168480357;189692857,56
geometry/inverse-y/64,38916176,45113234,41511764,50258823,964799,38916176;39026470;39422058;39433823;39485294;39510294;39600000;39629411;39642647;39654411;39701470;39704411;39791176;39797058;39807352;39855882;39942647;39995588;39998529;40027941;40319117;40380882;40380882;40402941;40439705;40495588;40533823;40594117;40654411;40679411;40727941;40772058;40773529;40967647;41135294;41172058;41377941;41385294;41433823;41511764;41579411;41720588;41786764;41822058;42611764;42770588;43742647;44633823;44822058;44922058;45304411;45730882;45994117;46145588;46164705;46692647;47252941;48152941;48335294;48422058;50258823;50610294;50944117;51836764;51992647;52061764;52497058;53195588;55698529;56288235;57061764;59317647;60088235;62004411;62073529;62652941;64061764;65725000;66050000;66288235;70336764;70719117;75491176;77557352;79622058;80355882;87347058;93632352;99802941;103022058;108026470;113361764;122685294;125463235;128133823;145822058;152594117;155551470;189745588;218214705,68
