case,min_ps,median_ps,median_lower_ps,median_upper_ps,median_confidence_ppm,ordered_samples_ps,iterations_per_sample
geometry/chain-x/64,31325581,34519185,32861627,56240697,964799,31325581;31834883;31856976;31955813;31983720;32002325;32079069;32087209;32110465;32119767;32129069;32156976;32168604;32202325;32204651;32217441;32298837;32333720;32336046;32346511;32417441;32427906;32470930;32490697;32510465;32569767;32598837;32611627;32619767;32627906;32640697;32647674;32648837;32684883;32704651;32739534;32790697;32806976;32833720;32861627;32889534;32918604;33032558;33143023;33232558;34061627;34070930;34118604;34388372;34467441;34570930;34744186;36066279;37025581;37975581;38080232;38850000;49129069;51623255;54919767;56240697;58298837;78876744;79195348;81611627;82303488;86348837;93963953;96288372;97020930;98295348;98488372;107219767;109945348;124003488;128059302;128839534;129994186;132394186;141459302;143024418;147333720;148566279;151737209;153780232;155080232;160379069;162625581;172773255;175758139;180027906;181941860;182124418;190245348;199574418;201258139;201738372;209040697;210845348;217826744,86
geometry/chain-y/64,31865454,34974545,32863636,36461818,964799,31865454;31869090;31923636;31956363;31989090;32018181;32032727;32050909;32067272;32078181;32085454;32087272;32145454;32187272;32221818;32250909;32263636;32314545;32320000;32329090;32354545;32378181;32416363;32441818;32452727;32461818;32481818;32496363;32507272;32550909;32583636;32601818;32641818;32690909;32696363;32801818;32847272;32849090;32849090;32863636;32909090;32927272;32940000;33016363;33025454;33149090;33610909;33678181;34105454;34547272;35401818;35525454;35538181;35560000;35561818;35607272;35781818;35921818;36080000;36347272;36461818;36518181;36598181;36754545;37001818;37150909;38060000;38092727;38110909;38307272;39058181;39221818;39327272;41576363;45580000;46467272;48072727;53463636;56363636;58432727;67752727;72740000;73805454;78052727;82420000;87003636;107538181;108240000;140096363;142972727;164685454;173790909;176710909;189814545;196150909;200823636;201260000;203174545;206487272;208907272,55
geometry/chain-z/64,31597674,33047674,32625581,33813953,964799,31597674;31669767;31855813;31886046;31930232;31946511;31974418;31995348;32004651;32058139;32076744;32183720;32186046;32190697;32190697;32223255;32262790;32274418;32276744;32297674;32362790;32381395;32393023;32418604;32420930;32427906;32441860;32465116;32474418;32481395;32490697;32504651;32511627;32516279;32546511;32560465;32579069;32583720;32597674;32625581;32679069;32706976;32716279;32720930;32730232;32783720;32797674;32834883;32890697;33013953;33081395;33202325;33202325;33272093;33358139;33430232;33513953;33579069;33583720;33641860;33813953;33911627;34155813;35611627;36046511;36588372;36639534;36658139;37251162;38276744;40425581;44869767;52404651;67555813;90376744;102444186;104774418;109937209;116890697;117748837;124823255;127762790;145332558;152665116;157832558;186516279;191439534;191590697;198837209;200360465;200981395;201634883;201813953;204300000;206597674;208602325;209116279;210153488;213409302;213972093,43
geometry/inverse-y/64,37900000,39531034,39220689,41162068,964799,37900000;37937931;38003448;38034482;38048275;38158620;38162068;38168965;38217241;38224137;38258620;38265517;38334482;38334482;38365517;38389655;38424137;38437931;38472413;38493103;38493103;38496551;38534482;38537931;38568965;38575862;38586206;38627586;38765517;38793103;38841379;38858620;38937931;39100000;39110344;39134482;39141379;39151724;39189655;39220689;39262068;39275862;39286206;39289655;39344827;39386206;39403448;39479310;39496551;39520689;39541379;39610344;39693103;39724137;39727586;39772413;40172413;40279310;40551724;40841379;41162068;42400000;42510344;43627586;43682758;43706896;44082758;44172413;44682758;45331034;45889655;46493103;46910344;51868965;53834482;55989655;58865517;63434482;68289655;69475862;69548275;116179310;135134482;136617241;136775862;151179310;152055172;166120689;174724137;186068965;200286206;201344827;201655172;203213793;205620689;211144827;213458620;216172413;216555172;221010344,29
geometry/inverse-x/64,40955769,44082692,42932692,49146153,964799,40955769;41426923;41646153;41653846;41671153;41805769;41811538;41857692;41867307;41932692;41953846;41953846;42013461;42036538;42090384;42125000;42126923;42200000;42246153;42259615;42284615;42332692;42375000;42413461;42442307;42461538;42519230;42536538;42598076;42607692;42680769;42703846;42736538;42775000;42800000;42865384;42901923;42923076;42928846;42932692;42951923;42973076;43000000;43050000;43069230;43432692;43432692;43476923;43661538;43836538;44328846;44330769;45425000;45634615;45742307;46000000;46553846;46986538;47101923;47361538;49146153;49501923;49748076;50896153;51265384;51457692;52361538;53192307;55832692;57794230;59271153;59586538;59675000;65653846;66344230;67119230;68017307;75461538;78398076;80786538;80911538;81688461;82175000;82478846;83800000;84705769;91719230;91961538;100726923;130046153;132053846;140796153;141609615;153550000;159075000;163944230;193703846;198203846;201759615;215623076,52
geometry/wide-serial/64,196800000,204168181,202954545,206063636,964799,196800000;197490909;197572727;197609090;197654545;197854545;198518181;198536363;199190909;199281818;199363636;199481818;199527272;199527272;199590909;199790909;199845454;200272727;200281818;200445454;200609090;200618181;200772727;200881818;200963636;201718181;201809090;201872727;201936363;202009090;202018181;202063636;202372727;202427272;202500000;202600000;202618181;202636363;202763636;202954545;203100000;203245454;203263636;203281818;203609090;203663636;203781818;203900000;203936363;204145454;204190909;204427272;204490909;205154545;205209090;205236363;205236363;205481818;205500000;205927272;206063636;206072727;206090909;207290909;207372727;207390909;207527272;207909090;208163636;208390909;208609090;208718181;209118181;209363636;209363636;209636363;210190909;210300000;211609090;211954545;212190909;212981818;213936363;214618181;216363636;217018181;217327272;217690909;218709090;220372727;220963636;222363636;223627272;224527272;224545454;226572727;232518181;290009090;353400000;358036363,11
geometry/tall-serial/64,205031578,212157894,210821052,213005263,964799,205031578;206721052;206878947;206884210;207168421;207442105;207542105;207678947;207794736;207889473;207978947;208157894;208231578;208278947;208315789;208368421;208563157;208731578;208826315;208847368;208915789;208947368;208952631;209242105;209484210;209489473;209536842;209568421;209626315;209647368;209694736;209757894;209900000;209989473;210468421;210573684;210715789;210721052;210742105;210821052;210857894;210884210;210926315;210973684;211152631;211621052;211742105;211794736;211815789;212142105;212173684;212194736;212210526;212231578;212263157;212326315;212331578;212442105;212763157;212836842;213005263;213347368;213431578;213473684;213573684;213663157;213826315;213921052;213942105;214105263;214584210;214852631;215300000;215342105;215610526;215878947;215984210;216426315;216431578;216768421;216800000;217221052;217289473;217478947;217647368;218357894;218378947;218436842;218557894;219300000;220194736;220757894;221068421;223105263;223731578;224184210;224315789;225336842;225657894;228894736,19
geometry/tall-task-quarter-mib/64,28912500,31582954,31107954,35907954,964799,28912500;29195454;29227272;29237500;29269318;29298863;29320454;29345454;29395454;29455681;29469318;29489772;29494318;29506818;29510227;29536363;29547727;29614772;29623863;29659090;29759090;29780681;29784090;29859090;29929545;29954545;29956818;29992045;30035227;30071590;30096590;30102272;30168181;30280681;30350000;30550000;30592045;30693181;31030681;31107954;31117045;31197727;31204545;31303409;31321590;31351136;31443181;31460227;31518181;31553409;31612500;31660227;31809090;31842045;32228409;33026136;33438636;33869318;34063636;35071590;35907954;36173863;36631818;36869318;37025000;37682954;39460227;39870454;41534090;42842045;44328409;45102272;46234090;49728409;61101136;61532954;61970454;63807954;64063636;67245454;67673863;69001136;70760227;77392045;80403409;80594318;81367045;82130681;88813636;89457954;90982954;104352272;108362500;109254545;111969318;125490909;128715909;129584090;138210227;140040909,88
geometry/tall-task-half-mib/64,39726562,45962499,43917187,53985937,964799,39726562;40050000;40345312;40410937;40428125;40828125;41007812;41112500;41112500;41139062;41167187;41168750;41198437;41215625;41254687;41331250;41548437;41631250;41681250;41901562;41982812;42010937;42057812;42223437;42235937;42403125;42512500;42525000;42526562;42623437;42659375;42823437;42956250;43054687;43218750;43271875;43317187;43364062;43415625;43917187;44334375;44376562;44462500;44626562;44795312;44798437;44956250;45259375;45564062;45564062;46360937;46392187;46701562;46707812;46843750;46946875;47470312;50396875;50603125;51842187;53985937;54835937;57296875;58768750;59282812;61700000;63417187;64657812;65051562;65607812;65903125;71121875;74746875;75904687;77075000;77584375;77678125;78865625;79390625;79973437;80120312;80375000;81090625;81520312;81671875;81796875;81867187;81873437;81889062;82334375;82367187;82390625;82587500;82879687;83264062;83276562;83306250;84240625;85157812;85732812,64
geometry/wide-task-quarter-mib/64,38200000,40763461,39697435,42244871,964799,38200000;38321794;38344871;38356410;38476923;38538461;38579487;38596153;38611538;38643589;38683333;38753846;38769230;38784615;38847435;38853846;38870512;38901282;38933333;38934615;39024358;39033333;39089743;39091025;39123076;39138461;39152564;39185897;39206410;39235897;39242307;39261538;39311538;39326923;39357692;39476923;39514102;39546153;39620512;39697435;39806410;39851282;40083333;40410256;40488461;40523076;40558974;40647435;40656410;40732051;40794871;40837179;40839743;40855128;40858974;41080769;41114102;41152564;41433333;41705128;42244871;42507692;42748717;43067948;43161538;43535897;43685897;43876923;44865384;44900000;45288461;47392307;53774358;55307692;55642307;61675641;62825641;62844871;63903846;65934615;67344871;69429487;71544871;72124358;74733333;87351282;89916666;94214102;105796153;107657692;110416666;119123076;119750000;120110256;121353846;134055128;137144871;137997435;140578205;144051282,78
