case,min_ps,median_ps,median_lower_ps,median_upper_ps,median_confidence_ppm,ordered_samples_ps,iterations_per_sample
geometry/rotated-task-quarter-mib/64,468114285,522221428,504971428,649542857,964799,468114285;468414285;468800000;469600000;470057142;470585714;470657142;470957142;471171428;471171428;471385714;472342857;473042857;473428571;474085714;474085714;474085714;474257142;474357142;475800000;476514285;477057142;481228571;483557142;485000000;487171428;490157142;492028571;493214285;495971428;496514285;497114285;497185714;497642857;498285714;499757142;501185714;502671428;504542857;504971428;505271428;505542857;508314285;513871428;514128571;514328571;515942857;518528571;518985714;519657142;524785714;532757142;535428571;538928571;540614285;547400000;559971428;566285714;569385714;614771428;649542857;652300000;687928571;699400000;719314285;737028571;760857142;854271428;854385714;860614285;879700000;894514285;896285714;901871428;916971428;1019471428;1099071428;1125800000;1179200000;1181000000;1191057142;1198714285;1199914285;1233957142;1271457142;1298671428;1330628571;1428242857;1464385714;1481557142;1513414285;1524442857;1555971428;1574771428;1654900000;1668642857;1672400000;1674300000;1681042857;1982228571,7
geometry/rotated-pair/64,531740000,582890000,569660000,626060000,964799,531740000;534300000;534940000;535080000;535320000;535340000;535420000;536140000;536160000;536220000;537820000;538720000;540880000;540900000;541560000;542500000;542580000;542740000;543040000;544000000;544080000;544240000;545100000;545140000;546100000;546920000;547040000;547240000;547720000;548780000;549140000;550260000;551380000;552780000;556600000;557300000;566020000;567020000;569600000;569660000;570720000;572200000;572500000;572980000;573920000;574020000;577520000;577560000;578540000;578840000;586940000;602380000;607080000;608160000;609040000;611180000;611660000;612720000;613600000;620240000;626060000;634640000;639820000;641500000;642040000;645240000;645700000;647920000;672060000;715540000;718940000;722740000;729900000;736780000;751140000;795220000;804220000;806120000;809740000;871480000;903660000;930080000;957680000;988580000;1004260000;1015480000;1105420000;1127700000;1162640000;1180020000;1343520000;1356180000;1638860000;1688340000;1825280000;1830420000;1839940000;1986620000;2121980000;2162000000,5
geometry/full-pair/64,555020000,797310000,628860000,1212100000,964799,555020000;555040000;555080000;558820000;559140000;560080000;560560000;561160000;561360000;562220000;563320000;564180000;567200000;574880000;586740000;587740000;588160000;588440000;589100000;590460000;592140000;594400000;594920000;595060000;595200000;595300000;598080000;598520000;600420000;600800000;601640000;602180000;603060000;604320000;607160000;609840000;616600000;621320000;626260000;628860000;629620000;631760000;636460000;642540000;654080000;666240000;705600000;759200000;766020000;772380000;822240000;827960000;836440000;966320000;1001460000;1007680000;1021980000;1069100000;1121520000;1125740000;1212100000;1247240000;1269100000;1293760000;1317260000;1324260000;1375620000;1381780000;1444080000;1478360000;1497740000;1544380000;1667580000;1705440000;1793280000;1807340000;1818980000;1845340000;1859400000;1902780000;1919420000;1953200000;1955300000;2036520000;2083600000;2206560000;2210560000;2256060000;2289400000;2336100000;2392460000;2428420000;2457120000;2488680000;2499420000;2502000000;2520880000;2522880000;2649540000;2654340000,5
geometry/wide-task-quarter-mib/64,37914285,43834285,40888571,47341428,964799,37914285;38278571;38487142;38580000;38628571;38645714;38731428;38768571;38881428;38910000;38957142;38964285;38968571;38982857;38995714;39008571;39082857;39144285;39167142;39182857;39184285;39257142;39261428;39321428;39325714;39388571;39391428;39411428;39465714;39501428;39511428;39541428;39565714;39654285;39698571;39868571;40320000;40428571;40831428;40888571;40964285;40977142;41347142;41530000;41794285;41830000;42257142;42404285;43524285;43710000;43958571;43980000;44232857;44254285;44497142;44974285;45545714;46317142;46507142;46624285;47341428;47412857;48148571;50302857;50440000;51540000;55900000;56322857;57235714;58150000;59767142;65291428;67542857;69802857;74630000;78020000;82580000;82692857;83554285;87271428;88224285;91065714;104604285;105435714;106081428;111885714;117452857;119208571;125567142;125718571;126288571;131990000;132360000;134620000;135682857;139770000;142010000;142841428;143892857;166424285,70
geometry/tall-task-half-mib/64,40073770,45463114,43678688,48936065,964799,40073770;40629508;40752459;40873770;40937704;40939344;41109836;41193442;41318032;41342622;41445901;41504918;41800000;41819672;41834426;41844262;41865573;41875409;41888524;42000000;42024590;42129508;42234426;42237704;42422950;42477049;42521311;42565573;42590163;42608196;42686885;42693442;42754098;42829508;43250819;43381967;43475409;43578688;43616393;43678688;43819672;43896721;43904918;44381967;44591803;44731147;44881967;45167213;45180327;45455737;45470491;45747540;46003278;47100000;47121311;47759016;48027868;48306557;48319672;48603278;48936065;49073770;49578688;50036065;50396721;50591803;51332786;53390163;53772131;54191803;56283606;56690163;59572131;64272131;64680327;64768852;67270491;69183606;76157377;78796721;79473770;79585245;79747540;80537704;80881967;81286885;81396721;81826229;82181967;82260655;82521311;82698360;82783606;82813114;82881967;84250819;84488524;86950819;87234426;87427868,61
geometry/tall-task-quarter-mib/64,29661458,31829166,30562500,32379166,964799,29661458;29710416;29717708;29728125;29743750;29801041;29815625;29842708;29877083;29973958;29980208;29985416;29992708;30023958;30037500;30045833;30048958;30054166;30061458;30063541;30085416;30091666;30100000;30107291;30144791;30147916;30151041;30155208;30161458;30203125;30235416;30280208;30323958;30342708;30444791;30507291;30523958;30531250;30535416;30562500;30593750;30629166;30846875;30898958;31395833;31541666;31633333;31767708;31814583;31829166;31829166;31856250;31877083;31922916;31967708;32017708;32105208;32137500;32216666;32368750;32379166;32381250;32515625;32523958;32632291;32889583;33095833;33913541;34627083;35215625;35227083;35481250;36063541;36163541;36472916;36995833;37008333;37667708;39728125;41585416;42113541;43814583;44002083;47554166;56676041;56794791;60295833;61594791;61808333;64400000;77165625;78013541;79362500;79753125;87563541;96612500;103300000;105276041;114500000;128050000,96
geometry/tall-serial/64,224352941,234276470,232588235,235917647,964799,224352941;224817647;225958823;227552941;227570588;227670588;228082352;228482352;228717647;229200000;229505882;229605882;229664705;229811764;229847058;230094117;230188235;230329411;230405882;230435294;230547058;230576470;230576470;231064705;231064705;231076470;231194117;231223529;231388235;231394117;231452941;231464705;231517647;231800000;232264705;232317647;232376470;232517647;232517647;232588235;232641176;233082352;233311764;233570588;233588235;233605882;233847058;233882352;233923529;234029411;234523529;234635294;234670588;234670588;234929411;234988235;235011764;235552941;235652941;235900000;235917647;236200000;236358823;236417647;236435294;236464705;236600000;236623529;236629411;236852941;236929411;237182352;237305882;237411764;237535294;237605882;237641176;237670588;237800000;238364705;239364705;239376470;239782352;239970588;240017647;240347058;240370588;240500000;241288235;241358823;241394117;241747058;242223529;242705882;243023529;243735294;244994117;245811764;246094117;248229411,17
geometry/wide-serial/64,345333333,360762499,358791666,363325000,964799,345333333;345766666;346241666;347525000;347933333;349025000;349341666;349525000;349575000;349908333;350575000;350900000;350908333;351066666;351208333;351308333;351325000;351358333;352100000;352191666;352600000;352800000;353450000;353641666;353775000;353966666;354091666;354408333;354475000;355008333;355150000;355808333;356783333;357208333;357825000;358383333;358408333;358500000;358616666;358791666;358950000;359216666;359441666;359533333;359550000;360608333;360625000;360683333;360683333;360691666;360833333;360916666;361550000;361683333;361925000;362083333;362091666;362391666;362558333;362916666;363325000;363350000;363400000;364166666;364808333;364841666;364858333;364966666;365108333;365275000;365583333;365625000;365666666;365933333;366058333;366083333;366366666;367491666;367508333;367591666;367708333;368025000;368383333;369558333;369608333;370450000;370708333;371908333;371925000;372108333;372708333;373275000;373641666;373975000;374641666;374683333;375691666;376041666;379466666;379616666,12
geometry/inverse-x/64,37420588,40810293,39161764,44961764,964799,37420588;37738235;37908823;37908823;37923529;37997058;38014705;38032352;38085294;38114705;38117647;38182352;38276470;38329411;38376470;38385294;38385294;38388235;38394117;38426470;38426470;38435294;38438235;38458823;38505882;38526470;38532352;38641176;38844117;38870588;38891176;38902941;38917647;38982352;38994117;38997058;39067647;39073529;39138235;39161764;39173529;39176470;39235294;39235294;39511764;39594117;39870588;40467647;40473529;40561764;41058823;41170588;41170588;43123529;43288235;43935294;44144117;44488235;44538235;44876470;44961764;45176470;45285294;45738235;46464705;48614705;48735294;49000000;49408823;49950000;51126470;54223529;55361764;55500000;58420588;70911764;71100000;75064705;81332352;88135294;111641176;115988235;116173529;123200000;135579411;140517647;146635294;147988235;155744117;156308823;160047058;163785294;171950000;180182352;189450000;204400000;205800000;213379411;216647058;259835294,34
geometry/inverse-y/64,37916363,43829090,41865454,48943636,964799,37916363;38007272;38183636;38207272;38230909;38350909;38412727;38443636;38530909;38561818;38601818;38609090;38636363;38683636;38772727;38778181;38803636;38841818;38901818;38910909;38930909;38950909;38992727;39054545;39140000;39154545;39154545;39160000;39370909;39472727;39483636;39509090;39750909;39858181;39980000;40227272;40310909;40416363;41501818;41865454;41996363;42010909;42049090;42343636;42732727;42734545;43158181;43436363;43616363;43625454;44032727;44267272;44872727;45543636;45616363;45620000;46952727;47158181;47914545;48280000;48943636;50183636;51836363;53650909;56689090;60601818;61338181;64709090;67738181;73232727;80136363;83118181;84274545;84889090;88907272;91714545;92000000;94076363;94443636;97390909;97881818;102669090;108010909;112274545;122561818;128172727;129465454;151476363;152749090;152960000;155581818;157776363;161265454;164661818;178923636;180880000;184827272;190861818;202665454;216525454,55
