case,min_ps,median_ps,median_lower_ps,median_upper_ps,median_confidence_ppm,ordered_samples_ps,iterations_per_sample
geometry/rotated-task-quarter-mib/64,466887500,523212500,497112500,555312500,964799,466887500;467012500;467300000;467312500;467850000;467975000;468312500;468762500;469462500;469562500;469675000;469725000;469737500;470137500;470150000;470550000;470650000;471425000;471487500;471687500;472225000;472300000;473837500;473862500;473962500;475562500;476925000;477025000;477212500;486500000;487112500;487750000;489675000;491775000;492787500;493662500;495287500;495962500;496812500;497112500;500025000;503612500;504662500;505337500;506262500;509975000;510500000;512012500;512650000;516287500;530137500;530225000;532425000;539912500;540012500;540550000;544587500;549750000;550825000;553050000;555312500;555700000;557175000;562112500;576075000;586775000;601387500;605362500;606912500;607762500;620725000;644987500;650600000;660012500;672250000;686925000;706262500;708500000;712225000;727475000;766775000;771400000;775825000;787425000;816337500;818550000;854787500;881675000;970825000;991800000;1005575000;1034775000;1125562500;1144137500;1150550000;1217537500;1411612500;1417637500;1529200000;1882275000,8
geometry/rotated-pair/64,532416666,614699999,575700000,694633333,964799,532416666;532966666;535000000;536083333;536366666;537416666;539033333;539500000;540433333;542766666;542983333;543516666;543533333;544100000;545066666;546233333;547866666;548183333;553366666;558983333;559400000;561466666;562050000;563750000;563983333;564050000;564900000;566783333;566950000;567616666;568333333;568466666;568516666;569116666;569566666;570900000;571833333;572983333;574966666;575700000;581950000;582583333;588983333;593900000;595216666;598583333;599016666;602600000;603733333;609866666;619533333;623400000;627383333;629533333;638383333;647883333;655866666;656450000;672633333;689716666;694633333;695133333;750766666;794266666;800900000;807450000;818016666;827000000;871516666;872816666;888983333;900166666;902416666;922100000;966966666;1026066666;1028383333;1032650000;1050350000;1058300000;1083416666;1088566666;1092050000;1119033333;1140683333;1142883333;1143983333;1168116666;1202033333;1214416666;1265716666;1363650000;1401883333;1514916666;1547866666;1674416666;1732716666;1756416666;1932000000;2132200000,6
geometry/full-pair/64,548280000,596570000,586560000,621180000,964799,548280000;549060000;549400000;549460000;550160000;550360000;550680000;550940000;551020000;551860000;551980000;552480000;552780000;553020000;554680000;554680000;555260000;555580000;555940000;556240000;556640000;556900000;557120000;557460000;557640000;558080000;558420000;558460000;561860000;562680000;563240000;563620000;565100000;566840000;573280000;576780000;577240000;582500000;584860000;586560000;586880000;587120000;587440000;589740000;590140000;590540000;590680000;591240000;595140000;596500000;596640000;597160000;598060000;599800000;605200000;612180000;613240000;616600000;616700000;619380000;621180000;622320000;622960000;623440000;627380000;628860000;631400000;637760000;649380000;656020000;656160000;660920000;676220000;689680000;695080000;695940000;704740000;704800000;713420000;735800000;778180000;823120000;829380000;852640000;873760000;883340000;949860000;1121060000;1148700000;1170900000;1329240000;1463320000;1572420000;1579960000;1671020000;1749440000;2052400000;2131940000;2426120000;2541840000,5
geometry/wide-task-quarter-mib/64,39430645,42462902,41083870,43440322,964799,39430645;39682258;39687096;39775806;39790322;40004838;40167741;40206451;40256451;40309677;40312903;40335483;40350000;40353225;40362903;40362903;40367741;40379032;40385483;40408064;40412903;40424193;40435483;40496774;40501612;40520967;40575806;40598387;40625806;40638709;40641935;40648387;40682258;40708064;40720967;40777419;40861290;40909677;40940322;41083870;41177419;41185483;41296774;41435483;41591935;41717741;41998387;42335483;42388709;42453225;42472580;42508064;42683870;42777419;42785483;42840322;42859677;43029032;43041935;43246774;43440322;43445161;43487096;43667741;43746774;43796774;43808064;44070967;44577419;44967741;45032258;45206451;46219354;46353225;46387096;46633870;46933870;49201612;49632258;50835483;51056451;53559677;54724193;55950000;61146774;61909677;66329032;66740322;67016129;73053225;75830645;76022580;83638709;83858064;86619354;94333870;97745161;111825806;115664516;116050000,62
geometry/tall-task-half-mib/64,40022352,45942940,43864705,49641176,964799,40022352;40630588;40809411;40984705;41114117;41131764;41163529;41169411;41169411;41192941;41282352;41468235;41503529;41563529;41567058;41591764;41689411;41745882;41755294;41765882;41809411;42251764;42316470;42527058;42528235;42654117;42709411;42772941;42874117;42918823;42937647;43088235;43109411;43183529;43305882;43365882;43467058;43498823;43794117;43864705;43932941;44088235;44114117;44231764;44544705;45083529;45461176;45621176;45715294;45916470;45969411;46020000;46385882;46590588;46740000;46937647;48795294;49189411;49277647;49583529;49641176;50243529;51411764;53568235;54377647;57098823;57741176;60934117;63510588;63514117;66134117;66962352;72175294;72307058;73140000;73710588;74281176;74658823;75197647;76287058;76638823;77263529;78267058;78874117;79023529;79044705;79070588;79534117;79567058;79881176;79923529;81036470;81637647;81692941;81738823;83682352;83723529;84435294;84449411;85524705,85
geometry/tall-task-quarter-mib/64,29134426,30625409,30268852,32327868,964799,29134426;29188524;29424590;29457377;29470491;29478688;29504918;29521311;29532786;29596721;29619672;29631147;29632786;29662295;29686885;29691803;29763934;29781967;29818032;29822950;29831147;29840983;29850819;29867213;29901639;29906557;29921311;29967213;29998360;30004918;30047540;30049180;30062295;30080327;30083606;30093442;30145901;30157377;30247540;30268852;30280327;30296721;30303278;30396721;30418032;30472131;30519672;30526229;30527868;30567213;30683606;30734426;30744262;30745901;30829508;31022950;31093442;31275409;31995081;32306557;32327868;32522950;32855737;32865573;32993442;33272131;33431147;33585245;34390163;34622950;35075409;35200000;35445901;35618032;36088524;37514754;37678688;37937704;37996721;38216393;39001639;39349180;41011475;45014754;46575409;47014754;48193442;55516393;58008196;70231147;80531147;83160655;83922950;85350819;88745901;107159016;116726229;123195081;127209836;132540983,61
geometry/tall-serial/64,230541176,238170588,237205882,239182352,964799,230541176;230852941;231047058;231294117;231335294;231570588;231976470;232594117;232923529;233023529;233688235;233911764;234088235;234652941;234676470;234723529;234747058;234764705;234764705;235023529;235052941;235152941;235176470;235182352;235341176;235482352;235564705;235876470;235935294;236270588;236364705;236382352;236423529;236552941;236558823;236852941;237029411;237200000;237205882;237205882;237270588;237282352;237323529;237676470;237800000;237917647;237958823;238005882;238123529;238170588;238170588;238317647;238417647;238476470;238605882;238735294;238811764;238958823;239111764;239129411;239182352;239335294;239341176;239547058;239558823;239764705;239847058;240000000;240123529;240135294;240200000;240505882;240705882;240994117;241323529;241405882;241447058;241670588;241711764;242323529;242435294;242517647;242717647;243929411;243941176;243952941;244594117;244788235;245152941;245152941;245164705;245464705;245788235;246564705;247423529;248494117;251876470;252011764;252194117;253294117,17
geometry/wide-serial/64,350663636,365963636,364745454,368200000,964799,350663636;352900000;354218181;354309090;354881818;355090909;355227272;355563636;355600000;355627272;355854545;356190909;357236363;357236363;357272727;357481818;357527272;357536363;357572727;357709090;358345454;358790909;360172727;360336363;360890909;361209090;361318181;361490909;361709090;361736363;362245454;362545454;362600000;362909090;363245454;363400000;363454545;364472727;364527272;364745454;365118181;365172727;365290909;365309090;365590909;365618181;365654545;365781818;365818181;365936363;365990909;366190909;366809090;367018181;367063636;367100000;367345454;367445454;367563636;367790909;368200000;368263636;368272727;368309090;368427272;369172727;369200000;369581818;369754545;369763636;369990909;370272727;370400000;370618181;370636363;370836363;370863636;371272727;371527272;371672727;372081818;372272727;372609090;373063636;373172727;373445454;373663636;375927272;377381818;378200000;379745454;379845454;380390909;381654545;383336363;383527272;383627272;386554545;386781818;392654545,11
geometry/inverse-x/64,37862962,42685185,40664814,45724074,964799,37862962;37975925;38525925;38544444;38581481;38587037;38592592;38650000;38651851;38661111;38685185;38722222;38768518;38831481;38844444;38900000;38937037;38953703;38983333;38998148;39009259;39066666;39105555;39157407;39185185;39187037;39279629;39305555;39368518;39375925;39444444;39518518;39520370;39537037;39664814;39725925;39779629;40190740;40653703;40664814;41444444;41629629;41951851;42316666;42400000;42475925;42551851;42575925;42635185;42683333;42687037;42709259;43333333;43381481;43777777;43870370;44044444;44285185;45353703;45724074;45724074;47379629;48366666;51029629;52233333;54581481;54872222;55866666;56925925;57548148;57768518;58355555;59309259;60585185;68961111;73385185;82327777;89681481;91333333;92381481;97098148;101390740;105970370;110024074;126535185;132568518;134831481;138011111;143366666;146894444;150116666;157342592;162074074;168653703;175177777;187946296;208053703;211033333;215881481;216409259,54
geometry/inverse-y/64,38651063,44386169,42917021,49519148,964799,38651063;38842553;38991489;39089361;39221276;39229787;39312765;39387234;39397872;39431914;39463829;39542553;39548936;39559574;39604255;39627659;39661702;39742553;39772340;39912765;39912765;39944680;40046808;40065957;40125531;40255319;40302127;40406382;40442553;40465957;40534042;40665957;40789361;40868085;41180851;41268085;42053191;42093617;42685106;42917021;43193617;43365957;43529787;43551063;43663829;43782978;43870212;43959574;44208510;44353191;44419148;45259574;46714893;46774468;47455319;47521276;47600000;47914893;48068085;49446808;49519148;49680851;51065957;51819148;52344680;53478723;59114893;60646808;66295744;67646808;73504255;78423404;80544680;91427659;97587234;102291489;117861702;131444680;142363829;145555319;154785106;163493617;165300000;166229787;170789361;177163829;177678723;185670212;187436170;188187234;191638297;194548936;196076595;197527659;197565957;205191489;206563829;206774468;212197872;213319148,47
