case,min_ps,median_ps,median_lower_ps,median_upper_ps,median_confidence_ppm,ordered_samples_ps,iterations_per_sample
geometry/chain-x/64,32079787,34970212,33488297,37197872,964799,32079787;32131914;32179787;32211702;32218085;32328723;32360638;32377659;32403191;32485106;32495744;32551063;32556382;32567021;32578723;32601063;32676595;32776595;32778723;32797872;32841489;32858510;32867021;32881914;32885106;32886170;32967021;32970212;32980851;32993617;33022340;33115957;33158510;33167021;33195744;33219148;33309574;33378723;33403191;33488297;33519148;33568085;33759574;33776595;34171276;34584042;34672340;34826595;34965957;34967021;34973404;35087234;35153191;35191489;35210638;35251063;35360638;36703191;36796808;37186170;37197872;37402127;37435106;37437234;37519148;37955319;38222340;38642553;38725531;39220212;39903191;42014893;42303191;42534042;43180851;44321276;46048936;46167021;47497872;51358510;51579787;52061702;53371276;56332978;58791489;62746808;67940425;70259574;73861702;73900000;78528723;79248936;81023404;90658510;91398936;96017021;96458510;101421276;103841489;110008510,94
geometry/chain-y/64,32365000,33968000,33626000,34653000,964799,32365000;32450000;32535000;32563000;32563000;32597000;32611000;32631000;32632000;32660000;32663000;32675000;32705000;32708000;32765000;32774000;32793000;32799000;32814000;32819000;32870000;32874000;32891000;32904000;32963000;32984000;32998000;33053000;33060000;33076000;33079000;33100000;33232000;33234000;33267000;33278000;33429000;33434000;33515000;33626000;33725000;33731000;33747000;33750000;33773000;33824000;33844000;33892000;33901000;33962000;33974000;34015000;34115000;34175000;34198000;34220000;34262000;34291000;34393000;34644000;34653000;34665000;34713000;34737000;34816000;34820000;35055000;35099000;35235000;35284000;35360000;35505000;35595000;35667000;35876000;36077000;36408000;36620000;36658000;36807000;36999000;37751000;38210000;38300000;39400000;47107000;48588000;49866000;53027000;58038000;60679000;60794000;65463000;67627000;69145000;72865000;79332000;97902000;103631000;126470000,100
geometry/chain-z/64,31998876,33361235,33028089,34001123,964799,31998876;32134831;32291011;32307865;32357303;32366292;32367415;32371910;32379775;32392134;32401123;32426966;32446067;32485393;32515730;32515730;32546067;32592134;32616853;32622471;32651685;32664044;32694382;32707865;32721348;32756179;32765168;32776404;32777528;32824719;32869662;32874157;32884269;32886516;32898876;32955056;32962921;33004494;33019101;33028089;33087640;33105617;33106741;33159550;33313483;33332584;33335955;33344943;33353932;33358426;33364044;33366292;33379775;33549438;33682022;33768539;33769662;33819101;33922471;33988764;34001123;34007865;34024719;34067415;34107865;34203370;34284269;34337078;34571910;34711235;34905617;34991011;35583146;35646067;36373033;37342696;37749438;38225842;39767415;40515730;40833707;41535955;42129213;43356179;43535955;43566292;44039325;45111235;46466292;48249438;48326966;54922471;55567415;56870786;59605617;62395505;72487640;74474157;89606741;99719101,89
geometry/inverse-y/64,28867010,29961855,29650515,30471134,964799,28867010;29032989;29141237;29173195;29175257;29237113;29252577;29274226;29276288;29298969;29338144;29347422;29354639;29356701;29367010;29369072;29380412;29385567;29419587;29422680;29428865;29452577;29457731;29480412;29490721;29494845;29495876;29496907;29520618;29530927;29531958;29540206;29548453;29550515;29619587;29626804;29632989;29632989;29648453;29650515;29700000;29741237;29741237;29742268;29745360;29757731;29774226;29795876;29916494;29948453;29975257;30035051;30088659;30247422;30255670;30287628;30354639;30365979;30379381;30434020;30471134;30476288;30493814;30509278;30519587;30520618;30534020;30542268;30636082;30700000;30732989;30746391;30847422;30883505;30890721;30962886;31057731;31153608;31372164;31534020;31545360;31638144;31647422;31777319;32197938;32398969;32555670;32654639;33156701;33223711;35085567;35105154;35171134;36322680;38483505;42852577;45285567;47159793;56209278;111189690,97
geometry/inverse-x/64,29151401,30901401,30334579,31977570,964799,29151401;29240186;29268224;29285981;29329906;29344859;29377570;29494392;29503738;29553271;29554205;29655140;29660747;29676635;29707476;29716822;29724299;29728037;29741121;29753271;29767289;29772897;29795327;29856074;29860747;29871962;29874766;29885046;29936448;30019626;30038317;30072897;30151401;30152336;30167289;30221495;30242056;30257009;30274766;30334579;30385981;30390654;30394392;30466355;30624299;30760747;30794392;30827102;30867289;30885981;30916822;30934579;31013084;31026168;31146728;31165420;31534579;31578504;31608411;31621495;31977570;32481308;32733644;32790654;32903738;33187850;33381308;33389719;33516822;33628037;33637383;33731775;33756074;34336448;35414953;35727102;35814953;36567289;39671962;40278504;40965420;41437383;41600000;42346728;42648598;43066355;43714018;45794392;48881308;52000000;57657009;73214953;76183177;77874766;78085981;84222429;93309345;95810280;108647663;147027102,107
geometry/wide-serial/64,163588888,196808333,186283333,203694444,964799,163588888;164394444;164488888;164600000;164605555;164677777;164944444;165005555;165355555;165450000;165816666;165950000;166250000;166577777;166694444;167127777;167544444;168400000;168738888;168977777;169033333;169255555;169300000;169450000;169611111;169638888;171172222;173033333;173977777;174950000;175272222;178605555;179666666;180600000;180655555;181061111;182372222;183727777;185916666;186283333;186538888;186688888;188200000;189783333;190977777;195888888;196227777;196366666;196483333;196772222;196844444;196933333;197150000;197727777;199044444;199194444;199272222;201055555;202483333;203483333;203694444;205916666;206450000;208566666;220838888;225016666;231305555;238805555;250688888;257022222;258900000;292077777;300816666;304722222;335877777;342216666;346055555;347838888;350150000;351816666;352638888;353222222;356011111;356172222;356827777;361488888;362533333;363244444;364350000;364438888;366172222;366183333;366738888;366811111;368288888;368561111;368883333;371727777;375750000;381594444,18
geometry/tall-serial/64,167863157,231465789,230384210,232773684,964799,167863157;168736842;169852631;175310526;175552631;201573684;216757894;217015789;218642105;220215789;220547368;221994736;224305263;224521052;224705263;224705263;224942105;224978947;225221052;225331578;225547368;225642105;227200000;227326315;227689473;227694736;227842105;227873684;228231578;228605263;228700000;229036842;229500000;229552631;229736842;229826315;229831578;229905263;230342105;230384210;230405263;230426315;230821052;230852631;231000000;231026315;231052631;231078947;231094736;231447368;231484210;231710526;231847368;231973684;232000000;232536842;232610526;232610526;232652631;232684210;232773684;232868421;233384210;233763157;233942105;233968421;234173684;234252631;234410526;234636842;234805263;234831578;234952631;235305263;235510526;235521052;235942105;236300000;236868421;237168421;237642105;237957894;237989473;238000000;239205263;239236842;239278947;239678947;240163157;240263157;240442105;240921052;241584210;243073684;243278947;243721052;245384210;246510526;249357894;251747368,19
geometry/tall-task-quarter-mib/64,29311382,31408536,30802439,32162601,964799,29311382;29465853;29517073;29639837;29771544;29800000;29821951;29849593;29856097;29967479;29989430;30005691;30006504;30007317;30017886;30034146;30065040;30086178;30094308;30139837;30142276;30156910;30222764;30237398;30260975;30262601;30314634;30317886;30373983;30374796;30401626;30528455;30541463;30565853;30567479;30591056;30595934;30686178;30777235;30802439;30810569;30844715;30958536;31098373;31102439;31181300;31192682;31290243;31337398;31388617;31428455;31477235;31595934;31595934;31655284;31669918;31761788;31807317;31917073;32007317;32162601;32347154;32416260;32527642;32700813;32770731;33116260;33199186;33249593;33343089;33627642;33728455;34218699;34653658;34729268;34926829;35305691;35366666;35563414;35617073;36107317;36520325;36865853;45786178;46778048;47690243;49117886;49811382;54086991;57608943;60310569;76004065;82014634;93290243;95152845;100713821;102704878;107774796;108262601;142528455,123
geometry/tall-task-half-mib/64,38811250,41385625,40880000,41806250,964799,38811250;39245000;39262500;39315000;39353750;39502500;39571250;39576250;39718750;39720000;39781250;39822500;39903750;39930000;39941250;39971250;40021250;40048750;40062500;40077500;40100000;40130000;40131250;40228750;40307500;40328750;40340000;40340000;40377500;40456250;40548750;40560000;40622500;40628750;40688750;40765000;40770000;40785000;40856250;40880000;40887500;40888750;40945000;41005000;41011250;41025000;41046250;41061250;41126250;41383750;41387500;41423750;41543750;41592500;41603750;41673750;41681250;41687500;41702500;41805000;41806250;41831250;42015000;42373750;42451250;42518750;42855000;42892500;42966250;43025000;43067500;43186250;43711250;44293750;44713750;44885000;46166250;46715000;47342500;48221250;49471250;52900000;54168750;54615000;55085000;56208750;58521250;60163750;61848750;64097500;66432500;77598750;79963750;81856250;88760000;89190000;91943750;94855000;101862500;103695000,80
geometry/wide-task-quarter-mib/64,39560606,41153030,40595454,41559090,964799,39560606;39581818;39656060;39681818;39786363;39807575;39821212;39827272;39842424;39853030;39875757;39886363;39977272;40050000;40050000;40051515;40078787;40092424;40115151;40142424;40143939;40180303;40195454;40227272;40231818;40275757;40289393;40313636;40315151;40348484;40365151;40395454;40398484;40456060;40463636;40465151;40486363;40518181;40559090;40595454;40728787;40765151;40819696;40881818;40925757;40930303;41001515;41004545;41027272;41142424;41163636;41193939;41266666;41281818;41307575;41319696;41330303;41410606;41421212;41422727;41559090;41562121;41609090;41716666;41718181;41725757;41825757;41883333;41922727;41950000;42042424;42110606;42192424;42512121;42587878;42643939;42648484;42804545;42951515;43168181;43306060;43669696;43786363;43992424;45174242;45342424;45495454;47513636;48922727;56493939;59881818;62168181;62283333;67596969;73681818;85825757;90777272;111983333;128627272;129268181,66
