case,min_ps,median_ps,median_lower_ps,median_upper_ps,median_confidence_ppm,ordered_samples_ps,iterations_per_sample
geometry/chain-x/64,32085964,33370175,33163157,33744736,964799,32085964;32615789;32650000;32652631;32670175;32675438;32691228;32752631;32800877;32814035;32815789;32839473;32864035;32897368;32899122;32904385;32908771;32911403;32926315;32928947;32932456;32958771;32977192;32978070;32993859;32996491;33001754;33014912;33020175;33024561;33031578;33032456;33036842;33041228;33071929;33088596;33106140;33107894;33135087;33163157;33170175;33205263;33240350;33245614;33257017;33259649;33315789;33341228;33360526;33364035;33376315;33388596;33402631;33425438;33517543;33565789;33611403;33682456;33720175;33731578;33744736;33784210;33826315;33864035;33881578;33914035;34437719;34481578;34636842;34803508;35235964;35248245;35433333;35483333;35515789;35580701;35671929;36252631;36510526;37758771;37909649;41826315;42639473;43353508;46075438;52790350;56132456;57740350;64267543;65045614;65996491;69972807;70776315;75984210;77642105;83971929;109394736;134552631;146402631;201724561,114
geometry/chain-y/64,32351190,33330356,33073809,34729761,964799,32351190;32444047;32458333;32496428;32508333;32511904;32577380;32596428;32634523;32639285;32675000;32677380;32685714;32722619;32757142;32759523;32775000;32795238;32825000;32860714;32884523;32891666;32891666;32903571;32907142;32910714;32928571;32939285;32942857;32950000;32982142;32984523;33007142;33025000;33026190;33054761;33055952;33060714;33065476;33073809;33107142;33219047;33220238;33220238;33222619;33226190;33228571;33271428;33289285;33328571;33332142;33380952;33546428;33646428;33691666;33758333;33784523;33869047;34038095;34546428;34729761;34757142;34830952;34878571;35084523;35090476;35117857;35123809;35145238;35226190;35289285;35360714;35421428;35491666;35716666;35960714;36080952;36221428;36309523;36329761;37145238;38760714;41209523;46686904;47602380;47776190;62133333;63827380;66313095;73647619;77782142;81833333;84097619;99778571;105505952;113430952;117066666;143394047;145760714;182897619,84
geometry/chain-z/64,31778082,32854794,32704109,32980821,964799,31778082;31782191;31802739;31804109;31927397;31936986;31967123;31990410;32042465;32045205;32067123;32135616;32158904;32184931;32210958;32227397;32241095;32269863;32304109;32309589;32316438;32328767;32342465;32349315;32365753;32413698;32434246;32458904;32478082;32512328;32513698;32516438;32541095;32563013;32589041;32594520;32680821;32689041;32694520;32704109;32704109;32706849;32758904;32764383;32782191;32806849;32832876;32836986;32839726;32852054;32857534;32867123;32868493;32871232;32875342;32882191;32883561;32898630;32927397;32934246;32980821;32983561;32990410;32998630;33041095;33093150;33130136;33132876;33156164;33316438;33320547;33487671;33501369;33609589;33717808;33879452;33900000;33967123;34067123;34547945;35087671;35169863;35263013;35312328;35395890;35469863;35563013;35957534;36668493;39453424;46082191;46864383;52583561;54297260;54332876;68845205;86224657;87495890;118167123;170356164,73
geometry/inverse-y/64,28995789,30137368,29805263,31104210,964799,28995789;29062105;29083157;29225263;29260000;29287368;29293684;29362105;29363157;29366315;29380000;29406315;29411578;29412631;29413684;29440000;29468421;29506315;29508421;29525263;29525263;29527368;29554736;29563157;29625263;29631578;29633684;29647368;29655789;29662105;29663157;29677894;29704210;29710526;29729473;29734736;29735789;29770526;29803157;29805263;29843157;29848421;29863157;29870526;29902105;29924210;29953684;29962105;30096842;30135789;30138947;30162105;30217894;30366315;30376842;30393684;30648421;30697894;30798947;30901052;31104210;31105263;31235789;31289473;31301052;31337894;31534736;31552631;31617894;31694736;31768421;31910526;32232631;32276842;32304210;33043157;33063157;33077894;33266315;33653684;33695789;33887368;35141052;37333684;37504210;38026315;47590526;48132631;54625263;54977894;55569473;59958947;65968421;67129473;73304210;81932631;117418947;131834736;135118947;135301052,95
geometry/inverse-x/64,28620224,29592696,29456179,29806741,964799,28620224;28632584;28823595;28832584;28835955;28843820;28864044;28865168;28874157;28902247;28922471;28998876;29050561;29085393;29085393;29086516;29117977;29148314;29152808;29174157;29192134;29200000;29203370;29216853;29226966;29233707;29255056;29282022;29282022;29303370;29335955;29343820;29361797;29383146;29406741;29410112;29422471;29423595;29434831;29456179;29486516;29500000;29501123;29513483;29526966;29561797;29570786;29580898;29585393;29591011;29594382;29625842;29630337;29630337;29662921;29716853;29725842;29735955;29743820;29746067;29806741;29915730;29930337;29938202;29975280;30078651;30168539;30750561;30753932;30864044;31125842;31144943;31956179;32066292;32479775;32541573;32964044;33298876;35833707;36979775;44119101;48268539;57028089;67743820;70902247;73487640;91492134;97528089;105435955;114776404;115843820;125882022;131180898;133170786;133240449;136687640;139376404;142161797;143062921;159524719,89
geometry/wide-serial/64,166786363,171238635,170568181,172095454,964799,166786363;166950000;167181818;167404545;167663636;167800000;168090909;168172727;168236363;168300000;168409090;168454545;168486363;168495454;168622727;168809090;168859090;169150000;169154545;169168181;169186363;169268181;169281818;169368181;169477272;169522727;169522727;169609090;169627272;169631818;169645454;169650000;169968181;170113636;170177272;170250000;170272727;170522727;170559090;170568181;170568181;170572727;170640909;170763636;170822727;170918181;170977272;171040909;171195454;171218181;171259090;171454545;171504545;171509090;171550000;171559090;171736363;171836363;171859090;171968181;172095454;172140909;172168181;172209090;172218181;172336363;172363636;172427272;172436363;172500000;172536363;172836363;172868181;172904545;173404545;173640909;173700000;173736363;174027272;174522727;174736363;174845454;175000000;175090909;175145454;175154545;175790909;176545454;176872727;178286363;178822727;179418181;180122727;180163636;182027272;182377272;183490909;183718181;187990909;195672727,22
geometry/tall-serial/64,166366666,170723809,169861904,171876190,964799,166366666;166780952;166857142;167123809;167195238;167276190;167490476;167566666;167576190;167623809;167709523;167766666;167819047;167838095;167976190;168133333;168414285;168476190;168495238;168657142;168680952;168700000;168742857;168761904;168809523;168866666;168904761;168995238;169128571;169190476;169238095;169319047;169357142;169404761;169571428;169595238;169623809;169757142;169809523;169861904;169890476;169909523;169995238;170004761;170057142;170404761;170433333;170442857;170595238;170619047;170828571;171171428;171190476;171214285;171238095;171366666;171376190;171409523;171585714;171657142;171876190;171952380;172042857;172714285;172909523;172942857;173200000;173438095;173461904;173500000;173566666;173633333;173747619;174666666;176176190;177295238;181961904;184623809;194271428;194919047;195109523;196785714;215719047;220723809;228576190;234195238;235561904;237138095;238209523;238366666;238642857;243380952;247752380;248519047;252366666;252638095;254476190;256347619;257161904;259857142,21
geometry/tall-task-quarter-mib/64,29220000,30459333,30080000,31034666,964799,29220000;29314666;29390666;29408000;29442666;29485333;29510666;29521333;29558666;29589333;29612000;29618666;29621333;29680000;29694666;29712000;29720000;29762666;29797333;29805333;29813333;29828000;29845333;29848000;29893333;29920000;29924000;29933333;29956000;29989333;29997333;30002666;30024000;30029333;30038666;30054666;30058666;30068000;30070666;30080000;30090666;30157333;30198666;30228000;30254666;30344000;30358666;30390666;30424000;30456000;30462666;30477333;30480000;30530666;30737333;30744000;30869333;30880000;30929333;31033333;31034666;31112000;31174666;31485333;31537333;31690666;31741333;31824000;31860000;31932000;32096000;32192000;32277333;32524000;32584000;32618666;32628000;32942666;33180000;33644000;34396000;35513333;36634666;37785333;37830666;37941333;40062666;41421333;45674666;46978666;47094666;60264000;67360000;69340000;71112000;76621333;79890666;80048000;87889333;156570666,75
geometry/tall-task-half-mib/64,38923750,41163750,40598750,41667500,964799,38923750;39217500;39236250;39273750;39292500;39297500;39330000;39332500;39361250;39423750;39443750;39456250;39488750;39490000;39501250;39545000;39623750;39653750;39683750;39721250;39751250;39816250;39873750;39917500;39973750;39990000;39995000;39997500;40047500;40103750;40171250;40252500;40285000;40335000;40380000;40441250;40443750;40450000;40496250;40598750;40708750;40715000;40762500;40858750;40990000;41008750;41027500;41070000;41082500;41157500;41170000;41335000;41337500;41338750;41412500;41436250;41466250;41535000;41567500;41655000;41667500;41743750;41752500;41760000;41770000;41797500;41916250;41942500;42020000;42031250;42047500;42066250;42142500;42462500;42472500;42578750;42706250;42805000;43303750;43626250;43783750;44675000;45070000;45920000;46510000;48923750;56192500;57852500;58163750;59585000;60731250;61376250;61482500;68372500;70691250;82788750;84645000;94285000;101865000;106816250,80
geometry/wide-task-quarter-mib/64,39708219,41266437,41012328,41582191,964799,39708219;39991780;40039726;40204109;40249315;40279452;40338356;40383561;40432876;40475342;40515068;40524657;40538356;40608219;40642465;40653424;40657534;40660273;40660273;40663013;40719178;40730136;40734246;40736986;40757534;40780821;40804109;40805479;40867123;40882191;40887671;40900000;40908219;40938356;40961643;40998630;41005479;41006849;41012328;41012328;41060273;41093150;41141095;41147945;41179452;41223287;41242465;41253424;41253424;41260273;41272602;41302739;41356164;41368493;41389041;41397260;41443835;41506849;41521917;41530136;41582191;41612328;41638356;41667123;41783561;42017808;42120547;42135616;42143835;42164383;42169863;42204109;42267123;42380821;42415068;42464383;42516438;42565753;42620547;42687671;43375342;43415068;43702739;43753424;44452054;45212328;45945205;46295890;47547945;48830136;67301369;71580821;73795890;77190410;89043835;94131506;94446575;116520547;121160273;163954794,73
geometry/full-pair/64,531214285,571064285,553057142,594214285,964799,531214285;531585714;532300000;532471428;534528571;534742857;534885714;534942857;535700000;535800000;536142857;536471428;536542857;536600000;537542857;538714285;539000000;539742857;540842857;540971428;541757142;541985714;542314285;542314285;542642857;543185714;543500000;543685714;544914285;545242857;545585714;546071428;546671428;546742857;547457142;547671428;547728571;547771428;550742857;553057142;553285714;554842857;555385714;562657142;565000000;566085714;566985714;568057142;569342857;569414285;572714285;573900000;574100000;574942857;579485714;583185714;588700000;590528571;591371428;593785714;594214285;594757142;598528571;601200000;604214285;604485714;604928571;617114285;620085714;639871428;686228571;694442857;707742857;716942857;735785714;747942857;750471428;873214285;892671428;893442857;926300000;930757142;993542857;1042814285;1081314285;1121171428;1160828571;1169214285;1290600000;1328400000;1333971428;1401100000;1493942857;1615785714;1723885714;1781685714;1841771428;2026285714;2188971428;2329742857,7
geometry/rotated-pair/64,459585714,498492857,482842857,520257142,964799,459585714;462814285;464871428;465428571;466585714;466671428;467757142;469000000;469100000;469257142;469771428;469928571;470085714;470642857;470728571;470785714;470871428;471414285;472200000;472285714;472442857;472485714;472514285;472542857;472642857;473100000;473185714;473257142;473971428;474100000;475185714;475571428;477028571;477285714;478242857;478600000;479700000;480771428;481571428;482842857;489671428;490014285;490957142;492500000;494685714;495085714;495871428;496314285;497614285;498085714;498900000;500042857;501185714;504814285;508028571;509085714;510885714;513928571;514400000;515657142;520257142;524000000;540357142;540571428;542271428;543528571;554885714;624600000;626557142;627314285;629414285;650014285;678457142;700028571;700114285;701671428;704528571;741257142;744828571;748685714;803157142;837828571;874942857;895642857;902642857;936885714;945171428;1020042857;1081300000;1104028571;1192500000;1210842857;1235700000;1296671428;1330100000;1452757142;1458900000;1486642857;1505028571;1889742857,7
geometry/rotated-task-quarter-mib/64,464483333,490899999,487233333,505566666,964799,464483333;467016666;467650000;468650000;469016666;469433333;470433333;470500000;470516666;470683333;470716666;470866666;470900000;470983333;471400000;471833333;472133333;472350000;472566666;472683333;473133333;473366666;473533333;474066666;474650000;475866666;477866666;480066666;480233333;481550000;481683333;481683333;482066666;483250000;483733333;483816666;484900000;485583333;485916666;487233333;487533333;487816666;488066666;488083333;488283333;488483333;489150000;489950000;490116666;490166666;491633333;491800000;492150000;493750000;494900000;495166666;496033333;499383333;501266666;502416666;505566666;505950000;508216666;513966666;516233333;519550000;520316666;522683333;523966666;525433333;531050000;536683333;537366666;537883333;540300000;552433333;555166666;555566666;562566666;574883333;574950000;626516666;628366666;654050000;775216666;775400000;786950000;815516666;822350000;853600000;857366666;857433333;915600000;937883333;1063433333;1249150000;1274533333;1377466666;1452450000;2026983333,6
