case,min_ps,median_ps,median_lower_ps,median_upper_ps,median_confidence_ppm,ordered_samples_ps,iterations_per_sample
geometry/rotated-task-quarter-mib/64,458833333,488066666,479950000,506816666,964799,458833333;461250000;465300000;465450000;465866666;467216666;467383333;467866666;467950000;468483333;468566666;468866666;469016666;469033333;469116666;469616666;470200000;470750000;470800000;470983333;471150000;471166666;471583333;471633333;472116666;472633333;472733333;472733333;473483333;473533333;473566666;474316666;474716666;474950000;475100000;476183333;476433333;476633333;479866666;479950000;481466666;481783333;482800000;482800000;484300000;484333333;485500000;486783333;487000000;487933333;488200000;490200000;490483333;492733333;494533333;495166666;496166666;498733333;501100000;503283333;506816666;507333333;511316666;515066666;516083333;517750000;522316666;523600000;527400000;531083333;534316666;536250000;538783333;541050000;543116666;543583333;553033333;557750000;568466666;572050000;580966666;595533333;622400000;639633333;679950000;693116666;749733333;788916666;806350000;832150000;877216666;878183333;928600000;990333333;1056750000;1230366666;1443566666;1575033333;1605150000;1986233333,6
geometry/rotated-pair/64,462071428,490564285,483485714,506242857,964799,462071428;462957142;464571428;466100000;467271428;469157142;469542857;469728571;470000000;470214285;470542857;470928571;471057142;471142857;471685714;472085714;472300000;472414285;472485714;473457142;473671428;473742857;474100000;474342857;474357142;475214285;475571428;475671428;475900000;476928571;478400000;478428571;479485714;480514285;481142857;481871428;481900000;482657142;483300000;483485714;483614285;484228571;484728571;485000000;485114285;486842857;487300000;487414285;488385714;488814285;492314285;494142857;496728571;498114285;499271428;499457142;499614285;500614285;500757142;503057142;506242857;509928571;510342857;512085714;512928571;522957142;524142857;530728571;534528571;543271428;544457142;545857142;551842857;561885714;596328571;604485714;617600000;650614285;654500000;670100000;678400000;686557142;731500000;743871428;745714285;825414285;849028571;976685714;981028571;983814285;1043028571;1116471428;1215085714;1301242857;1309585714;1356714285;1391428571;1577357142;1725257142;1756842857,7
geometry/full-pair/64,529500000,551525000,544400000,566550000,964799,529500000;529683333;530050000;530266666;531616666;531616666;531983333;532266666;532383333;532750000;533083333;533300000;533500000;533983333;534033333;534066666;534100000;534183333;534516666;535283333;535366666;535500000;536083333;536350000;536566666;536616666;536783333;537250000;537383333;537533333;537583333;538216666;538366666;538983333;540266666;540383333;542383333;543633333;543850000;544400000;544650000;545216666;545566666;546200000;547483333;549150000;549233333;550050000;550350000;551300000;551750000;552983333;554050000;555083333;555600000;555883333;556966666;557283333;558983333;559616666;566550000;569600000;571533333;580700000;582500000;590150000;598650000;598816666;600916666;602633333;605233333;609400000;612316666;614666666;616683333;617350000;636933333;651833333;659100000;662300000;696233333;788166666;797050000;834416666;858433333;861100000;863316666;875533333;891433333;935600000;938383333;1149550000;1381700000;1388983333;1429883333;1594216666;1596433333;1712216666;2307516666;2614716666,6
geometry/wide-task-quarter-mib/64,39742168,42895180,42221686,44840963,964799,39742168;39859036;39900000;39959036;39981927;39987951;40001204;40028915;40040963;40086746;40184337;40185542;40209638;40212048;40287951;40293975;40310843;40321686;40334939;40340963;40369879;40431325;40440963;40454216;40491566;40554216;40672289;40726506;40740963;40761445;40798795;40866265;40909638;41075903;41344578;41661445;41848192;42074698;42174698;42221686;42259036;42300000;42362650;42589156;42591566;42614457;42627710;42630120;42872289;42883132;42907228;43162650;43365060;43433734;43513253;43548192;43885542;44387951;44512048;44591566;44840963;44877108;44895180;44912048;45825301;46009638;46039759;46177108;46203614;46378313;46449397;46513253;49343373;50244578;53728915;57028915;58018072;58915662;59016867;60172289;60713253;63000000;63707228;67234939;69595180;71167469;74685542;87187951;90068674;91869879;96379518;105418072;108644578;113145783;118862650;120383132;125413253;126419277;141449397;143879518,83
geometry/tall-task-half-mib/64,38634920,42849206,42068253,44328571,964799,38634920;39461904;39820634;39992063;40063492;40122222;40198412;40209523;40349206;40425396;40455555;40484126;40558730;40568253;40657142;40728571;40746031;40828571;40831746;40950793;40958730;41003174;41003174;41115873;41166666;41257142;41263492;41376190;41474603;41485714;41490476;41700000;41723809;41736507;41769841;41819047;41849206;41890476;42061904;42068253;42111111;42128571;42165079;42165079;42225396;42236507;42304761;42573015;42655555;42803174;42895238;42912698;42993650;43096825;43525396;43671428;43704761;44012698;44071428;44150793;44328571;44533333;44826984;44907936;45384126;46747619;46777777;46882539;47407936;49249206;52242857;53025396;53563492;55128571;56477777;57788888;61357142;62566666;64493650;64819047;65073015;65255555;66706349;68260317;72153968;72315873;74596825;75426984;77406349;77892063;79403174;81012698;83907936;84712698;85142857;85179365;96280952;100665079;127907936;133147619,63
geometry/tall-task-quarter-mib/64,29513541,30982291,30656250,31795833,964799,29513541;29618750;29648958;29681250;29702083;29705208;29706250;29758333;29786458;29797916;29797916;29845833;29859375;29872916;29875000;29891666;29921875;29977083;29986458;30002083;30052083;30054166;30062500;30089583;30101041;30164583;30254166;30280208;30302083;30327083;30346875;30367708;30429166;30496875;30530208;30541666;30566666;30579166;30625000;30656250;30672916;30709375;30709375;30730208;30739583;30756250;30810416;30818750;30936458;30976041;30988541;31112500;31112500;31115625;31218750;31288541;31395833;31436458;31708333;31751041;31795833;31856250;31927083;31978125;31981250;32104166;32217708;32308333;32401041;32485416;32751041;32951041;33047916;33298958;33345833;33411458;33717708;34380208;34430208;36241666;41761458;42760416;44022916;46185416;50961458;52862500;55239583;61180208;61479166;61816666;66921875;70901041;91328125;91451041;94846875;107222916;111100000;117631250;134229166;156215625,96
geometry/tall-serial/64,170078947,184452631,174694736,189989473,964799,170078947;170142105;170210526;170231578;170289473;170336842;170610526;170657894;170789473;170794736;170852631;170910526;170968421;170984210;171131578;171200000;171236842;171715789;171800000;172289473;172294736;172326315;172363157;172463157;172563157;172589473;172615789;172668421;172710526;172773684;172805263;172836842;173047368;173347368;174026315;174289473;174336842;174400000;174431578;174694736;174805263;175126315;175652631;175700000;176047368;176547368;178647368;180831578;183084210;184300000;184605263;185157894;185631578;186226315;186410526;187500000;188300000;188721052;189500000;189810526;189989473;190110526;190510526;190663157;190868421;190973684;193121052;193310526;193478947;194368421;194847368;194905263;195915789;195984210;196594736;197347368;198547368;198800000;200173684;200500000;201068421;202100000;203578947;203605263;205552631;209042105;218915789;231989473;232831578;233357894;236047368;237221052;238257894;240552631;240984210;241068421;241905263;244889473;246563157;252526315,19
geometry/wide-serial/64,164928571,168709523,168390476,169323809,964799,164928571;165004761;165557142;165633333;165861904;166266666;166490476;166790476;166923809;166957142;166995238;167185714;167185714;167204761;167209523;167214285;167371428;167380952;167409523;167428571;167438095;167442857;167580952;167590476;167604761;167723809;167780952;167795238;167795238;167852380;167890476;168066666;168128571;168204761;168214285;168219047;168271428;168285714;168328571;168390476;168390476;168442857;168490476;168500000;168566666;168595238;168614285;168619047;168671428;168695238;168723809;168733333;168847619;168895238;168952380;169028571;169052380;169223809;169242857;169300000;169323809;169400000;169423809;169576190;169619047;169700000;169771428;169776190;169857142;170142857;170261904;170476190;170690476;170923809;171157142;171271428;171485714;171500000;171666666;171714285;172266666;172280952;172571428;172952380;180004761;184390476;192561904;199247619;269333333;270323809;274647619;343204761;356019047;356819047;359590476;360957142;361309523;361509523;361800000;365952380,21
geometry/inverse-x/64,29087058,30924117,30394117,32241176,964799,29087058;29410588;29425882;29500000;29515294;29648235;29652941;29668235;29680000;29684705;29760000;29788235;29791764;29802352;29855294;29860000;29948235;29961176;29963529;29969411;29983529;30014117;30040000;30052941;30065882;30068235;30069411;30071764;30076470;30110588;30112941;30124705;30158823;30160000;30174117;30207058;30292941;30374117;30377647;30394117;30452941;30475294;30594117;30597647;30682352;30691764;30708235;30751764;30834117;30858823;30989411;31065882;31222352;31275294;31355294;31587058;31928235;31931764;31952941;32020000;32241176;32335294;32350588;32402352;32582352;32752941;32774117;32782352;32847058;33592941;33703529;33764705;33963529;34055294;34068235;34097647;34129411;34354117;34398823;34444705;35020000;35861176;38541176;39668235;42597647;44869411;44935294;47570588;47676470;47677647;51401176;62009411;62867058;75664705;79822352;80145882;80389411;92618823;130155294;152584705,85
geometry/inverse-y/64,29385185,30687962,30281481,31546296,964799,29385185;29472222;29487962;29489814;29519444;29620370;29634259;29664814;29675925;29754629;29763888;29765740;29824074;29830555;29841666;29856481;29894444;29912037;29912962;29913888;29969444;29972222;29975925;29978703;30012962;30047222;30053703;30066666;30095370;30106481;30108333;30125000;30153703;30227777;30243518;30260185;30263888;30269444;30276851;30281481;30301851;30362962;30448148;30470370;30472222;30597222;30608333;30620370;30622222;30625000;30750925;30900925;31023148;31056481;31078703;31277777;31312962;31435185;31441666;31477777;31546296;31557407;31699074;31739814;31887037;31935185;32003703;32019444;32025925;32202777;32215740;32462962;32682407;33455555;33484259;33727777;33858333;34662037;34696296;34774074;35025925;35851851;36591666;38523148;39096296;39765740;41684259;41997222;43568518;43869444;44263888;46375925;50352777;55570370;64360185;68897222;73783333;74123148;77226851;109000000,108
