case,min_ps,median_ps,median_lower_ps,median_upper_ps,median_confidence_ppm,ordered_samples_ps,iterations_per_sample
geometry/rotated-task-quarter-mib/64,459225000,493806250,483412500,518125000,964799,459225000;462662500;462687500;463562500;466850000;468037500;468350000;469775000;470037500;470250000;471162500;471275000;471875000;472550000;472925000;473175000;473287500;473287500;474837500;475950000;476100000;476300000;477962500;478775000;479150000;479212500;479362500;480287500;480375000;480562500;481575000;481587500;481962500;482050000;482175000;482650000;482737500;482787500;483150000;483412500;484337500;485512500;486350000;486500000;487300000;487512500;488537500;489662500;490900000;491825000;495787500;496887500;499000000;500525000;501937500;502625000;506625000;507175000;511250000;511825000;518125000;520000000;533137500;540200000;541712500;566350000;575250000;575287500;580825000;604862500;622087500;633962500;634775000;651075000;658525000;658775000;675450000;687762500;701450000;705562500;739050000;750437500;757825000;812325000;821762500;824300000;868187500;947325000;978037500;999225000;1000387500;1082212500;1195025000;1326587500;1421287500;1441375000;1446000000;1487112500;1758150000;1992725000,8
geometry/rotated-pair/64,454366666,482533333,476400000,487266666,964799,454366666;459933333;460583333;462783333;464216666;464666666;465233333;465333333;465933333;465950000;466150000;466416666;466766666;466866666;466933333;467216666;467300000;467766666;467783333;468250000;468300000;468850000;469133333;469316666;469966666;470366666;470416666;470700000;470850000;471016666;471516666;471766666;471883333;472183333;473100000;473933333;473983333;474983333;476183333;476400000;476733333;477050000;477466666;478150000;478400000;479216666;479450000;479483333;481983333;482383333;482683333;482733333;482966666;483733333;484300000;484316666;484950000;485516666;486366666;486600000;487266666;488083333;491516666;493283333;494500000;497716666;498000000;498800000;504200000;505516666;505783333;506816666;515733333;516283333;520933333;525166666;530700000;532066666;532100000;548100000;551950000;558016666;560566666;591316666;601116666;618383333;676183333;689200000;768816666;774650000;779566666;812900000;858833333;954600000;1027866666;1059566666;1066733333;1066900000;1493016666;1855516666,6
geometry/full-pair/64,531333333,570208333,554366666,588800000,964799,531333333;533933333;534000000;534766666;534816666;535300000;535516666;535550000;535550000;535983333;536450000;537400000;537616666;537666666;537883333;537966666;538033333;538783333;539583333;541566666;541900000;542400000;543200000;545333333;545733333;546150000;546283333;546783333;548050000;549066666;549150000;549300000;549466666;549666666;549866666;550483333;552566666;553150000;554316666;554366666;557516666;560100000;561150000;562533333;563766666;566133333;568000000;569100000;569233333;570000000;570416666;572233333;574016666;574050000;575783333;578850000;579483333;580850000;581516666;583550000;588800000;592300000;596450000;600633333;604933333;610483333;622283333;623833333;633483333;637266666;647733333;655783333;665800000;687883333;691816666;695483333;695633333;698450000;702350000;731150000;793250000;841366666;854500000;860166666;891150000;948583333;983900000;996016666;1045500000;1059433333;1181950000;1233016666;1283483333;1321050000;1349183333;1482850000;1631450000;1671550000;1714550000;2165883333,6
geometry/wide-task-quarter-mib/64,39911627,41441278,41073255,41951162,964799,39911627;39979069;40100000;40127906;40138372;40167441;40236046;40408139;40439534;40455813;40463953;40479069;40484883;40504651;40536046;40555813;40579069;40594186;40617441;40644186;40676744;40700000;40711627;40779069;40794186;40805813;40806976;40833720;40839534;40881395;40915116;40919767;40923255;40950000;40970930;40970930;40997674;41019767;41050000;41073255;41134883;41153488;41190697;41204651;41263953;41334883;41338372;41343023;41383720;41395348;41487209;41526744;41547674;41554651;41602325;41603488;41609302;41629069;41639534;41679069;41951162;42118604;42387209;42416279;42504651;42531395;42575581;42575581;42787209;42955813;43165116;43350000;43376744;43532558;43638372;43648837;43712790;43748837;43770930;43777906;43777906;43961627;44046511;44153488;44268604;45482558;45870930;46487209;47231395;47489534;48412790;48827906;52658139;61106976;64863953;77958139;87933720;93002325;94801162;97451162,86
geometry/tall-task-half-mib/64,39287179,42638461,41838461,43734615,964799,39287179;39510256;40003846;40155128;40291025;40458974;40534615;40591025;40607692;40614102;40641025;40673076;40796153;40817948;40829487;40832051;40833333;40961538;41058974;41058974;41098717;41138461;41193589;41224358;41246153;41256410;41285897;41408974;41429487;41433333;41435897;41487179;41541025;41552564;41573076;41607692;41679487;41693589;41738461;41838461;41867948;41884615;41896153;42012820;42021794;42061538;42169230;42378205;42432051;42600000;42676923;42791025;42847435;42882051;42916666;43044871;43280769;43410256;43625641;43724358;43734615;44116666;44485897;44507692;44670512;44889743;44930769;44961538;46703846;48873076;49257692;49292307;54335897;55582051;55605128;57553846;59725641;63438461;65994871;68475641;71132051;71267948;71308974;71361538;71847435;72694871;73944871;75084615;76478205;80397435;81300000;81425641;83537179;83991025;87550000;88294871;89337179;90443589;100056410;100321794,78
geometry/tall-task-quarter-mib/64,29575700,30999065,30582242,31745794,964799,29575700;29597196;29642056;29728971;29740186;29743925;29765420;29781308;29828037;29843925;29844859;29859813;29863551;29882242;29889719;29895327;29996261;30028971;30042990;30047663;30088785;30105607;30154205;30193457;30208411;30210280;30226168;30263551;30280373;30300934;30324299;30338317;30352336;30366355;30380373;30412149;30571028;30574766;30579439;30582242;30623364;30654205;30746728;30750467;30797196;30855140;30883177;30927102;30970093;30984112;31014018;31030841;31084112;31123364;31130841;31174766;31200000;31248598;31435514;31606542;31745794;31786915;31896261;31905607;31905607;31953271;31990654;32067289;32128971;32176635;32670093;32922429;32982242;33355140;33389719;33550467;33588785;33919626;33984112;34117757;34558878;34704672;34785046;35070093;35771028;36563551;41456074;43105607;46551401;47520560;50079439;51337383;58630841;65365420;67265420;70222429;73073831;77744859;92230841;97728971,107
geometry/tall-serial/64,167494444,216444444,202094444,233811111,964799,167494444;169444444;170750000;171933333;172888888;173477777;174300000;174805555;176477777;178644444;179033333;180288888;180600000;181050000;181288888;181511111;181622222;182216666;183416666;184616666;186644444;187677777;188833333;189661111;189850000;190422222;190683333;193822222;193922222;194872222;195961111;197361111;198005555;199088888;201238888;201588888;201605555;201766666;201983333;202094444;203055555;206622222;206722222;207488888;208211111;208527777;212311111;212527777;213411111;214483333;218405555;220700000;221277777;225150000;226072222;228205555;229522222;230533333;231522222;231800000;233811111;234027777;234944444;236383333;236405555;236666666;236738888;237861111;237877777;238238888;239600000;240800000;240877777;241588888;241888888;242344444;242894444;243516666;245150000;245850000;246605555;247150000;247861111;248927777;249444444;250383333;250650000;251327777;251627777;252394444;252955555;253266666;255450000;259316666;261122222;261555555;265050000;265883333;265966666;292222222,18
geometry/wide-serial/64,168489473,199326315,196452631,200336842,964799,168489473;171963157;183389473;187431578;192900000;193136842;193394736;193405263;193526315;193547368;193647368;193763157;193852631;194221052;194526315;194563157;194678947;194815789;194884210;194889473;194984210;195021052;195110526;195163157;195305263;195315789;195378947;195463157;195494736;195568421;195700000;195773684;195915789;196047368;196057894;196084210;196310526;196342105;196400000;196452631;197073684;197221052;197805263;197989473;198005263;198463157;198778947;199005263;199057894;199305263;199347368;199542105;199605263;199631578;199657894;199915789;199926315;200010526;200200000;200315789;200336842;201568421;201857894;201889473;202005263;202694736;202805263;203042105;203510526;203700000;203910526;206157894;206373684;206794736;208442105;208452631;208778947;209305263;210073684;212852631;213900000;219242105;219300000;240157894;263300000;337189473;347394736;351500000;354036842;354405263;355736842;356810526;358742105;361257894;367726315;371084210;371642105;374178947;387578947;392873684,19
geometry/inverse-x/64,29632653,31484693,30906122,32417346,964799,29632653;29697959;29789795;29811224;29813265;29864285;29885714;29909183;29918367;29918367;29926530;29995918;30057142;30065306;30068367;30083673;30139795;30147959;30156122;30171428;30181632;30185714;30225510;30261224;30279591;30315306;30316326;30326530;30330612;30336734;30389795;30400000;30414285;30454081;30477551;30479591;30677551;30717346;30870408;30906122;30929591;30944897;30954081;30970408;31038775;31046938;31107142;31202040;31246938;31460204;31509183;31788775;31814285;31821428;31839795;31954081;32016326;32114285;32279591;32404081;32417346;32466326;32558163;32734693;32826530;33051020;33065306;33174489;33236734;33743877;33795918;33960204;33974489;34216326;34568367;34693877;34800000;36919387;38466326;39103061;44293877;44857142;45821428;46333673;47275510;48631632;55956122;61886734;63404081;63983673;72363265;73130612;75472448;83433673;86018367;87226530;102578571;104148979;109653061;128909183,98
geometry/inverse-y/64,29613636,31019999,30724545,32069090,964799,29613636;29662727;29751818;29765454;29807272;29849090;29903636;29908181;29919090;29945454;29946363;29969090;29974545;30005454;30011818;30025454;30029090;30035454;30074545;30075454;30080909;30092727;30092727;30171818;30224545;30226363;30320909;30321818;30337272;30346363;30353636;30367272;30385454;30456363;30484545;30493636;30625454;30646363;30685454;30724545;30731818;30737272;30761818;30797272;30847272;30884545;30899090;30961818;30990909;31005454;31034545;31042727;31111818;31202727;31236363;31601818;31666363;31871818;31929090;32069090;32069090;32086363;32145454;32166363;32179090;32292727;32305454;32472727;33138181;33380909;33678181;33714545;33866363;34201818;34235454;34750909;35241818;36258181;36449090;38624545;39590909;40207272;40747272;41735454;41811818;42220909;44833636;47250000;47759090;47835454;48210000;52163636;56330909;57072727;60431818;60744545;60961818;75205454;82495454;117646363,110
