case,min_ps,median_ps,median_lower_ps,median_upper_ps,median_confidence_ppm,ordered_samples_ps,iterations_per_sample
geometry/chain-x/64,32280219,33485164,33248351,33791208,964799,32280219;32535164;32597802;32658241;32696703;32705494;32712087;32717582;32731868;32757142;32759340;32763736;32791208;32794505;32827472;32845054;32849450;32857142;32869230;32900000;32903296;32908791;32952747;32961538;32971428;32972527;32975824;32980219;32995604;33023076;33036263;33063736;33067032;33163736;33172527;33173626;33201098;33207692;33234065;33248351;33263736;33263736;33284615;33338461;33379120;33393406;33401098;33427472;33452747;33460439;33509890;33509890;33531868;33556043;33561538;33596703;33604395;33724175;33726373;33764835;33791208;33813186;33816483;33826373;33878021;33957142;33995604;34005494;34097802;34160439;34172527;34183516;34331868;34381318;34434065;34547252;34940659;35005494;35070329;35397802;35561538;35687912;35861538;35883516;36358241;36534065;36775824;36849450;37187912;37408791;38101098;40175824;71053846;74250549;82725274;84285714;93768131;94318681;139650549;175234065,91
geometry/chain-y/64,32426804,33591752,33290721,34330927,964799,32426804;32514432;32555670;32641237;32642268;32652577;32688659;32694845;32749484;32834020;32861855;32872164;32893814;32915463;32924742;32936082;32948453;32974226;32981443;32987628;32988659;33005154;33006185;33026804;33063917;33075257;33144329;33146391;33147422;33152577;33160824;33164948;33172164;33185567;33244329;33245360;33253608;33280412;33286597;33290721;33300000;33309278;33317525;33364948;33405154;33424742;33431958;33464948;33485567;33560824;33622680;33644329;33653608;33693814;33749484;33768041;33867010;34043298;34219587;34289690;34330927;34360824;34467010;34670103;34790721;35019587;35032989;35041237;35043298;35138144;35257731;35365979;35483505;35705154;35919587;36018556;36120618;36568041;37043298;37484536;38728865;41842268;50078350;55496907;63914432;64857731;72217525;79037113;83975257;91294845;92382474;98211340;120845360;126644329;140608247;155996907;156359793;158175257;160780412;206470103,97
geometry/chain-z/64,32370652,33767934,33316304,34577173,964799,32370652;32377173;32431521;32442391;32465217;32533695;32541304;32543478;32636956;32641304;32693478;32704347;32781521;32795652;32844565;32845652;32867391;32947826;32951086;32966304;32973913;32990217;33020652;33030434;33092391;33094565;33097826;33147826;33147826;33163043;33167391;33178260;33200000;33213043;33221739;33244565;33254347;33282608;33314130;33316304;33326086;33329347;33330434;33371739;33404347;33482608;33536956;33568478;33660869;33758695;33777173;33873913;33936956;33985869;34009782;34020652;34040217;34263043;34325000;34482608;34577173;34593478;34664130;34856521;35019565;35052173;35075000;35111956;35188043;35350000;35455434;35625000;35668478;35841304;36870652;37078260;37210869;38000000;38496739;38764130;41867391;42970652;44694565;46050000;48893478;50986956;51403260;55069565;55417391;64066304;65521739;66773913;72216304;76689130;89681521;102208695;110457608;113528260;113754347;123909782,92
geometry/inverse-y/64,29739130,30889673,30648913,31253260,964799,29739130;29819565;29944565;29953260;29964130;29984782;29984782;30009782;30089130;30090217;30117391;30134782;30135869;30156521;30173913;30191304;30194565;30228260;30242391;30261956;30273913;30288043;30291304;30335869;30346739;30370652;30375000;30414130;30422826;30433695;30500000;30506521;30510869;30514130;30520652;30602173;30621739;30641304;30642391;30648913;30665217;30668478;30689130;30694565;30697826;30704347;30718478;30741304;30835869;30854347;30925000;30931521;30950000;31078260;31082608;31083695;31139130;31202173;31205434;31216304;31253260;31351086;31457608;31648913;31920652;31993478;31998913;32042391;32270652;32394565;32409782;32434782;32471739;33100000;33460869;33720652;33792391;33969565;34135869;34771739;34967391;35534782;36236956;37370652;40489130;43992391;45276086;47205434;54535869;55186956;62983695;76908695;79018478;79696739;82714130;82768478;97450000;100806521;125790217;162609782,92
geometry/inverse-x/64,29490322,30372042,30229032,30938709,964799,29490322;29541935;29554838;29619354;29644086;29666666;29693548;29733333;29755913;29777419;29853763;29878494;29901075;29906451;29917204;29930107;29931182;29936559;29972043;30027956;30030107;30040860;30046236;30049462;30052688;30054838;30064516;30086021;30086021;30102150;30102150;30124731;30130107;30132258;30158064;30158064;30167741;30195698;30222580;30229032;30235483;30267741;30267741;30268817;30270967;30275268;30276344;30312903;30335483;30367741;30376344;30379569;30394623;30403225;30462365;30518279;30655913;30687096;30715053;30774193;30938709;30988172;31002150;31024731;31110752;31284946;31429032;31579569;31723655;31997849;32076344;32336559;32692473;32820430;33937634;34074193;34120430;34873118;35581720;40413978;42659139;47695698;47819354;49103225;50478494;50781720;52322580;55311827;65405376;65650537;76012903;79846236;80404301;91797849;94839784;101405376;136118279;137745161;137768817;141563440,93
geometry/wide-serial/64,165150000,184534090,183690909,184945454,964799,165150000;165350000;166081818;166127272;166481818;166704545;166950000;168377272;168481818;169809090;171295454;173718181;174540909;174636363;177100000;177190909;178645454;180618181;182004545;182427272;182513636;182527272;182581818;182609090;182740909;182763636;182804545;182850000;182913636;182940909;183018181;183131818;183268181;183345454;183427272;183527272;183618181;183627272;183677272;183690909;183800000;183977272;184004545;184054545;184204545;184263636;184359090;184413636;184486363;184500000;184568181;184590909;184609090;184663636;184759090;184804545;184859090;184895454;184900000;184945454;184945454;185227272;185254545;185459090;185531818;185795454;186131818;186154545;186236363;186545454;186613636;186900000;187050000;187354545;187604545;188195454;188363636;188527272;188827272;189136363;189159090;189531818;190145454;190618181;190859090;190927272;191731818;191790909;192336363;193622727;195545454;195781818;198663636;198831818;199668181;200268181;201686363;202268181;205490909;209504545,22
geometry/tall-serial/64,166485000,170857500,170245000,171990000,964799,166485000;166920000;167210000;167330000;167535000;167565000;167620000;168005000;168020000;168180000;168235000;168465000;168485000;168750000;168750000;168775000;168785000;168815000;168875000;168890000;168900000;169030000;169045000;169095000;169125000;169200000;169345000;169420000;169430000;169455000;169540000;169615000;169705000;169745000;169765000;169810000;170060000;170080000;170220000;170245000;170260000;170375000;170475000;170550000;170600000;170615000;170665000;170675000;170680000;170840000;170875000;170890000;170955000;171155000;171235000;171255000;171270000;171445000;171545000;171975000;171990000;172155000;173405000;174180000;174620000;174755000;175045000;176370000;176465000;176865000;177025000;177180000;177285000;180210000;180495000;182590000;185595000;192610000;196850000;198995000;199865000;201905000;202975000;218935000;220815000;223490000;230425000;231335000;231715000;232105000;234490000;235490000;237230000;238115000;240570000;241790000;245410000;246375000;248250000;248290000,20
geometry/tall-task-quarter-mib/64,29697222,31494444,31106481,32248148,964799,29697222;29855555;29925000;30000000;30004629;30040740;30081481;30102777;30217592;30268518;30306481;30351851;30387962;30406481;30416666;30453703;30475000;30537962;30543518;30557407;30565740;30572222;30642592;30643518;30647222;30694444;30697222;30726851;30747222;30765740;30850000;30906481;30912962;30930555;30958333;30984259;30999074;31075000;31090740;31106481;31143518;31158333;31167592;31175925;31294444;31303703;31314814;31372222;31405555;31448148;31540740;31553703;31711111;31778703;31807407;31848148;31975925;32016666;32049074;32162962;32248148;32262962;32296296;32379629;32472222;32570370;32642592;32825000;32935185;33013888;33016666;33083333;33138888;33639814;33786111;33792592;34033333;34147222;34172222;34208333;34283333;34350000;34428703;34457407;34546296;35733333;38875925;40888888;41954629;42642592;42677777;44075925;44695370;45789814;54256481;54456481;56013888;60999074;80522222;103837037,108
geometry/tall-task-half-mib/64,39720512,42148717,41444871,42979487,964799,39720512;39721794;39766666;39785897;40057692;40142307;40191025;40255128;40256410;40261538;40265384;40266666;40276923;40320512;40328205;40405128;40489743;40512820;40589743;40606410;40656410;40719230;40778205;40807692;40812820;40937179;40979487;41017948;41067948;41079487;41080769;41084615;41105128;41155128;41225641;41273076;41383333;41405128;41428205;41444871;41530769;41537179;41537179;41601282;41607692;41829487;41880769;41903846;42060256;42111538;42185897;42251282;42264102;42301282;42326923;42341025;42464102;42496153;42551282;42958974;42979487;43010256;43187179;43211538;43488461;44024358;44303846;44317948;44497435;45126923;45516666;46352564;46666666;47208974;48121794;48508974;48830769;49379487;50543589;51301282;53820512;54039743;54846153;56207692;56569230;60173076;60960256;61682051;61715384;66762820;68302564;68497435;81125641;81820512;83569230;85983333;86528205;90069230;92656410;112253846,78
geometry/wide-task-quarter-mib/64,39837500,41383125,41026250,41753750,964799,39837500;39952500;40023750;40053750;40187500;40200000;40240000;40245000;40266250;40275000;40280000;40311250;40377500;40382500;40428750;40441250;40531250;40560000;40561250;40611250;40623750;40626250;40631250;40637500;40653750;40712500;40728750;40730000;40731250;40745000;40811250;40813750;40880000;40926250;40928750;40948750;41002500;41005000;41016250;41026250;41035000;41047500;41071250;41086250;41118750;41142500;41143750;41243750;41298750;41372500;41393750;41396250;41448750;41472500;41481250;41498750;41546250;41571250;41586250;41648750;41753750;41798750;41890000;41963750;42053750;42067500;42116250;42122500;42160000;42613750;42761250;42992500;43076250;43293750;43325000;44766250;45668750;48093750;50328750;50598750;52841250;53795000;54857500;55268750;56408750;59165000;59402500;60842500;61050000;68783750;70255000;70787500;78187500;79847500;85147500;91591250;98767500;109446250;147867500;161918750,80
