case,min_ps,median_ps,median_lower_ps,median_upper_ps,median_confidence_ppm,ordered_samples_ps,iterations_per_sample
geometry/rotated-task-quarter-mib/64,464428571,500321428,489414285,518400000,964799,464428571;467371428;469171428;469714285;470314285;470928571;471028571;471928571;473300000;473614285;474471428;474585714;474628571;474771428;475085714;476000000;476614285;476657142;476785714;478157142;478842857;478957142;480200000;481200000;481614285;482285714;482657142;482900000;484171428;484185714;484814285;485157142;485685714;487085714;487271428;487528571;487714285;488828571;489242857;489414285;489485714;489500000;489700000;491314285;491585714;492157142;495228571;496071428;496985714;499728571;500914285;501171428;501614285;501828571;502957142;503328571;508371428;509700000;512828571;517514285;518400000;519257142;519771428;521357142;523214285;523771428;526571428;532957142;533114285;534642857;534728571;535228571;536357142;538714285;540400000;542528571;552828571;562557142;573614285;614442857;650600000;676142857;699128571;771685714;823985714;837185714;898000000;924114285;931000000;966357142;968757142;988271428;1072400000;1146614285;1266628571;1266828571;1278057142;1321471428;1327142857;1536357142,7
geometry/rotated-pair/64,469416666,509774999,496333333,553650000,964799,469416666;469450000;469783333;470083333;470316666;471983333;472266666;473866666;474650000;476300000;476700000;477216666;477416666;477733333;478333333;479533333;480233333;480750000;481766666;482483333;483050000;483383333;483816666;483833333;483933333;485450000;485483333;485766666;485866666;486583333;487516666;490033333;492216666;492350000;493450000;493716666;494200000;494633333;495850000;496333333;497016666;500216666;502733333;502933333;503133333;503450000;503816666;505933333;507250000;509133333;510416666;515883333;526950000;527866666;532750000;535816666;537816666;537850000;539400000;549766666;553650000;562116666;564250000;564566666;564900000;572883333;577933333;581983333;583083333;583316666;583900000;583950000;595416666;612700000;618133333;620450000;645633333;648383333;677200000;700783333;702250000;714066666;768750000;774283333;790733333;870266666;907350000;1032750000;1073900000;1083500000;1102916666;1139733333;1185700000;1205550000;1262416666;1294050000;1325433333;1547883333;1827850000;2674416666,6
geometry/full-pair/64,535683333,554575000,548216666,567233333,964799,535683333;535783333;536416666;537716666;538383333;539366666;539583333;540133333;540833333;541000000;541266666;541466666;541733333;541816666;541966666;542066666;542350000;542350000;542533333;542666666;542700000;542800000;542900000;543116666;543616666;544116666;544750000;544933333;545100000;545150000;545550000;545550000;545650000;545666666;546066666;546433333;546783333;547050000;547466666;548216666;549150000;549366666;549383333;549483333;550283333;550783333;551550000;552816666;554100000;554500000;554650000;554683333;556400000;556450000;556833333;556950000;559916666;562000000;562066666;562666666;567233333;569883333;571533333;573833333;574016666;575183333;579233333;580700000;583933333;585450000;585716666;586266666;589633333;595933333;596550000;603583333;608050000;621750000;622366666;635700000;635916666;690316666;754866666;826733333;831983333;833450000;847250000;892883333;912550000;931900000;1024616666;1076383333;1131350000;1307133333;1371800000;1436316666;1444250000;1485200000;2100950000;2258983333,6
geometry/wide-task-quarter-mib/64,39855263,41672368,41164473,43069736,964799,39855263;40017105;40132894;40139473;40244736;40300000;40344736;40353947;40389473;40397368;40418421;40419736;40438157;40442105;40485526;40515789;40632894;40663157;40675000;40702631;40710526;40738157;40747368;40748684;40786842;40790789;40801315;40825000;40840789;40961842;40965789;40971052;40972368;40976315;40976315;41001315;41117105;41130263;41164473;41164473;41172368;41196052;41198684;41247368;41259210;41269736;41276315;41364473;41613157;41632894;41711842;41751315;41925000;41994736;42050000;42125000;42489473;42553947;42680263;42977631;43069736;43096052;43126315;43367105;43403947;43456578;43598684;43730263;43809210;44296052;44698684;44984210;45072368;45444736;45514473;45934210;46657894;46751315;47047368;47425000;47519736;48453947;52373684;52903947;57669736;58228947;59207894;59227631;60827631;61193421;62788157;69646052;77921052;80328947;90282894;95623684;97552631;99969736;110327631;193468421,76
geometry/tall-task-half-mib/64,39444186,42802906,42172093,44493023,964799,39444186;39834883;39968604;40077906;40338372;40358139;40366279;40491860;40513953;40738372;40751162;40781395;40794186;40803488;40803488;40856976;40932558;40979069;41073255;41088372;41115116;41194186;41211627;41246511;41281395;41468604;41487209;41594186;41665116;41767441;41852325;41905813;41936046;41955813;41967441;42022093;42068604;42108139;42125581;42172093;42219767;42273255;42298837;42350000;42406976;42437209;42610465;42611627;42652325;42663953;42941860;43343023;43547674;43559302;43689534;43693023;43752325;43758139;43779069;44486046;44493023;45070930;45118604;45352325;45501162;45904651;45963953;46394186;46577906;46850000;47606976;48484883;49363953;50982558;53463953;54674418;55703488;57359302;57773255;61440697;62415116;63262790;63545348;69244186;73655813;77368604;77448837;78500000;83653488;84260465;84926744;86979069;89188372;89640697;92144186;92430232;94948837;96651162;105386046;150310465,86
geometry/tall-task-quarter-mib/64,29319230,32168268,31067307,33440384,964799,29319230;29693269;29906730;29969230;29998076;30007692;30018269;30025000;30063461;30070192;30085576;30119230;30145192;30150961;30165384;30178846;30239423;30258653;30273076;30277884;30315384;30370192;30450961;30490384;30509615;30537500;30551923;30581730;30585576;30624038;30662500;30676923;30702884;30704807;30745192;30845192;30873076;30913461;30919230;31067307;31200961;31222115;31385576;31517307;31545192;31642307;31769230;31777884;31999038;32050961;32285576;32366346;32438461;32512500;32589423;32652884;32705769;32850961;33186538;33373076;33440384;33583653;33627884;33675961;33836538;33930769;33981730;34039423;34117307;34127884;34400000;35272115;35397115;35924038;36433653;36520192;38228846;40200961;41583653;42671153;42950000;44215384;48318269;50463461;51691346;54299038;55265384;55459615;55828846;57267307;59318269;63028846;70841346;71439423;74801923;78040384;79052884;83322115;83961538;96693269,104
geometry/tall-serial/64,163605882,173311764,171752941,181800000,964799,163605882;164564705;165135294;165529411;166552941;166664705;166976470;167011764;167370588;167735294;167858823;167900000;168005882;168017647;168070588;168317647;168458823;168617647;168676470;168688235;168700000;168888235;168929411;169064705;169294117;169464705;169476470;169476470;169841176;170005882;170094117;170111764;170529411;170617647;170694117;170723529;171000000;171241176;171288235;171752941;172111764;172217647;172364705;172370588;172405882;172764705;172958823;173029411;173223529;173282352;173341176;173576470;174341176;174352941;174411764;175064705;175564705;175800000;177023529;180394117;181800000;191476470;192252941;196200000;206082352;216964705;217070588;218847058;220694117;226217647;226529411;231982352;236058823;237529411;237841176;239576470;239576470;240223529;240223529;241035294;241347058;243952941;244211764;244558823;244682352;246305882;249852941;249964705;250523529;250941176;251229411;252670588;252911764;256935294;257752941;259488235;262076470;265035294;269635294;274405882,17
geometry/wide-serial/64,164095238,236390476,179838095,300476190,964799,164095238;165019047;165566666;165938095;166138095;166228571;166409523;166723809;167019047;167519047;167538095;167747619;168776190;168952380;170123809;171180952;171447619;171842857;172200000;172419047;173380952;174047619;174295238;175204761;175514285;175609523;176652380;176900000;177104761;177280952;177371428;177666666;177900000;178128571;178228571;178423809;179052380;179085714;179404761;179838095;180776190;181028571;187914285;190176190;192571428;196404761;207471428;209933333;214547619;225847619;246933333;249661904;255504761;261504761;263028571;267380952;273471428;275590476;283323809;287600000;300476190;326500000;335433333;337666666;338590476;338747619;345504761;346085714;347890476;348266666;353514285;354047619;354357142;354585714;356938095;359647619;359857142;360400000;361219047;362009523;363442857;364061904;366147619;366423809;367104761;368385714;368452380;369476190;369719047;371066666;371704761;372023809;372052380;374766666;375295238;376685714;378671428;385961904;414814285;425052380,21
geometry/inverse-x/64,29600813,30799186,30574796,31423577,964799,29600813;29684552;29708130;29789430;29815447;29834959;29898373;29913008;29945528;29946341;30041463;30049593;30062601;30104065;30117073;30140650;30156910;30182926;30186178;30187804;30191869;30204065;30254471;30278048;30312195;30344715;30369918;30387804;30398373;30399186;30407317;30421138;30421951;30473983;30530081;30534959;30541463;30541463;30554471;30574796;30623577;30646341;30673170;30688617;30697560;30728455;30735772;30770731;30779674;30782926;30815447;30829268;30855284;30926016;30975609;31012195;31023577;31034146;31198373;31213821;31423577;31573983;31596747;31604878;31708130;31708943;31900813;32023577;32025203;32334146;32467479;32487804;33005691;33297560;33312195;33468292;34006504;34762601;34843089;35139024;35234146;35573983;35791056;35791056;35948780;36881300;37263414;41286178;46400000;49059349;50030081;50752032;51487804;55860162;57381300;57430081;57990243;61380487;67039024;79850406,123
geometry/inverse-y/64,29340740,31050617,30520987,32049382,964799,29340740;29632098;29660493;29693827;29693827;29723456;29743209;29762962;29817283;29822222;29823456;29912345;29930864;29933333;29960493;29961728;30007407;30039506;30040740;30061728;30067901;30087654;30123456;30133333;30164197;30167901;30182716;30204938;30251851;30309876;30319753;30351851;30398765;30407407;30460493;30480246;30487654;30504938;30519753;30520987;30525925;30548148;30600000;30619753;30664197;30687654;30724691;30744444;30790123;30981481;31119753;31266666;31274074;31309876;31385185;31625925;31627160;31681481;31855555;31892592;32049382;32061728;32153086;32196296;32204938;32206172;32241975;32340740;32381481;32470370;32581481;32740740;32758024;32783950;32843209;33228395;33316049;33367901;33439506;33892592;34466666;34519753;35609876;35958024;37944444;42374074;45524691;48166666;55037037;70282716;70993827;73506172;74762962;79196296;80022222;90385185;91038271;91775308;104551851;115825925,81
