case,min_ps,median_ps,median_lower_ps,median_upper_ps,median_confidence_ppm,ordered_samples_ps,iterations_per_sample
geometry/rotated-task-quarter-mib/64,460333333,522766666,496533333,567083333,964799,460333333;460566666;467150000;468383333;468700000;469100000;469200000;470200000;470366666;470383333;470450000;470683333;471033333;471633333;472350000;474233333;474833333;475800000;475800000;477183333;477400000;479400000;480100000;480100000;480533333;482683333;483083333;483450000;483566666;484150000;484366666;484500000;490650000;493066666;494133333;495883333;496066666;496433333;496500000;496533333;497400000;497500000;501566666;502216666;508633333;512666666;516066666;516133333;520800000;521233333;524300000;525283333;526650000;527933333;528266666;530300000;531716666;541350000;542533333;547766666;567083333;568900000;577833333;584716666;586383333;599766666;600616666;610116666;612966666;647450000;660716666;663566666;680983333;690616666;711116666;765033333;830716666;872050000;874083333;942050000;943133333;973816666;1054533333;1060483333;1061800000;1066183333;1080583333;1092300000;1096883333;1167300000;1209783333;1213700000;1233250000;1261200000;1298733333;1310350000;1332133333;1405500000;1427766666;1952400000,6
geometry/rotated-pair/64,462957142,496828571,487871428,514600000,964799,462957142;466157142;467914285;471542857;472428571;472757142;473414285;474357142;474357142;474428571;474928571;475028571;475085714;475585714;476114285;476214285;476328571;476928571;477000000;477271428;477285714;477385714;478185714;478614285;478957142;479214285;479942857;480757142;481728571;481828571;482428571;482814285;483528571;484485714;486114285;486214285;486228571;487328571;487571428;487871428;488271428;488485714;489628571;490257142;491714285;491985714;492185714;492214285;493785714;496057142;497600000;500114285;500700000;501171428;501771428;502285714;503100000;503428571;504757142;511042857;514600000;516600000;517242857;519557142;522071428;523342857;523500000;523771428;523971428;526557142;526871428;529014285;529714285;536585714;537014285;544128571;561285714;565457142;566957142;568742857;574128571;582157142;591700000;619785714;650128571;690271428;760857142;785114285;808771428;810785714;830371428;839842857;856985714;874214285;898628571;963328571;1035685714;1066471428;1333928571;1564371428,7
geometry/full-pair/64,535716666,554616666,549300000,568716666,964799,535716666;535783333;535933333;536100000;536483333;536683333;536866666;537066666;538100000;538216666;538316666;538633333;538883333;539016666;539033333;539050000;539100000;539550000;539766666;540616666;541133333;541216666;541300000;541433333;541733333;541900000;542283333;543083333;543516666;544033333;544066666;544600000;544766666;545950000;546450000;546683333;548066666;548933333;549233333;549300000;549933333;550533333;551133333;551466666;551600000;551716666;552966666;553400000;553616666;554300000;554933333;555216666;555550000;556933333;556983333;557683333;558466666;562933333;567483333;567633333;568716666;575300000;578016666;579266666;579966666;581516666;583766666;585416666;586766666;587533333;590216666;596316666;600016666;601600000;601816666;604900000;605916666;609683333;610233333;615750000;616700000;626933333;647833333;672366666;672650000;697550000;724266666;750450000;792916666;858000000;967766666;974383333;1054983333;1110600000;1326233333;1394533333;1437950000;1998533333;2070316666;2573100000,6
geometry/wide-task-quarter-mib/64,39849411,42469411,41672941,43320000,964799,39849411;40188235;40281176;40334117;40335294;40441176;40461176;40462352;40551764;40556470;40656470;40676470;40747058;40754117;40767058;40790588;40857647;40901176;40930588;40996470;41012941;41052941;41057647;41127058;41128235;41142352;41210588;41229411;41234117;41337647;41345882;41398823;41403529;41435294;41442352;41480000;41502352;41554117;41638823;41672941;41774117;41810588;42110588;42165882;42222352;42292941;42345882;42371764;42390588;42414117;42524705;42556470;42591764;42625882;42771764;42940000;42968235;42984705;43116470;43189411;43320000;43469411;44135294;44437647;44630588;44695294;44744705;45224705;45248235;45312941;45455294;45710588;45936470;46410588;46528235;47674117;47770588;48495294;49312941;49576470;52447058;52561176;55481176;57617647;57878823;63738823;64032941;68448235;69044705;70582352;72914117;73116470;91647058;94075294;113767058;114443529;120400000;131343529;162154117;183088235,85
geometry/tall-task-half-mib/64,39748648,42431080,41945945,43660810,964799,39748648;39798648;39814864;39901351;40032432;40247297;40306756;40452702;40481081;40487837;40539189;40590540;40656756;40681081;40701351;40713513;40759459;40786486;40891891;40947297;40967567;40975675;40989189;40997297;41033783;41041891;41050000;41155405;41208108;41362162;41460810;41545945;41635135;41641891;41698648;41709459;41713513;41777027;41913513;41945945;41968918;42008108;42017567;42037837;42189189;42231081;42271621;42339189;42352702;42390540;42471621;42513513;42644594;42727027;42856756;42868918;43047297;43350000;43520270;43604054;43660810;43732432;43735135;43837837;43905405;44066216;44189189;44516216;44541891;44732432;44879729;44898648;45033783;45609459;46250000;46895945;47101351;49210810;51529729;54145945;55140540;58433783;59518918;67014864;68563513;68598648;68790540;74045945;75971621;76913513;80102702;81014864;82032432;83250000;87055405;92208108;95548648;96398648;97456756;102001351,74
geometry/tall-task-quarter-mib/64,29243518,30869444,30330555,31287962,964799,29243518;29360185;29412037;29454629;29478703;29540740;29587037;29590740;29642592;29647222;29664814;29688888;29725000;29733333;29749074;29767592;29799074;29836111;29837962;29851851;29881481;29940740;29942592;29959259;29963888;30004629;30007407;30032407;30092592;30097222;30118518;30118518;30153703;30165740;30203703;30280555;30300925;30300925;30322222;30330555;30394444;30423148;30507407;30591666;30598148;30687037;30723148;30789814;30796296;30849074;30889814;30946296;30952777;30954629;31044444;31045370;31051851;31179629;31203703;31283333;31287962;31310185;31377777;31385185;31504629;31524074;31638888;31644444;31767592;31837962;31857407;32075925;32075925;32244444;32464814;32805555;33045370;33075000;33133333;33179629;33307407;34193518;34223148;34821296;36634259;38760185;40447222;40742592;42455555;43179629;43952777;49222222;51893518;55325925;59481481;63035185;75215740;75446296;97610185;100596296,108
geometry/tall-serial/64,168147058,172185293,171258823,173176470,964799,168147058;168423529;168523529;168629411;168841176;168876470;168888235;169158823;169252941;169300000;169305882;169329411;169447058;169476470;169735294;169788235;169794117;169894117;169988235;170064705;170123529;170252941;170535294;170541176;170552941;170570588;170588235;170664705;170729411;170770588;170929411;170935294;171035294;171135294;171147058;171152941;171158823;171158823;171194117;171258823;171352941;171511764;171700000;171729411;171764705;171800000;171958823;172035294;172100000;172129411;172241176;172282352;172294117;172370588;172435294;172523529;172535294;172623529;172676470;173029411;173176470;174029411;174182352;174188235;174370588;174564705;174770588;174917647;174958823;175088235;175170588;175258823;175352941;175564705;176064705;176247058;176252941;176505882;176588235;176717647;176911764;177200000;177770588;178223529;178517647;178605882;178694117;179135294;179482352;179670588;180352941;182176470;182529411;184170588;189276470;190194117;190705882;195135294;196658823;225200000,17
geometry/wide-serial/64,161622727,188688636,173477272,190472727,964799,161622727;163481818;163609090;163831818;164022727;164272727;164277272;164500000;164563636;164777272;164777272;164790909;164836363;165045454;165086363;165295454;165327272;165363636;165395454;165486363;165495454;165659090;165931818;166195454;166209090;166595454;166672727;166822727;166918181;167104545;167318181;167454545;167500000;168231818;168268181;168422727;168659090;169045454;171013636;173477272;186936363;187095454;187454545;187518181;188063636;188090909;188122727;188345454;188486363;188595454;188781818;188872727;189259090;189422727;189454545;189672727;189804545;190000000;190200000;190290909;190472727;191122727;191354545;191863636;192200000;192277272;192295454;192609090;193086363;196422727;196450000;201131818;211900000;234631818;239045454;260690909;274113636;320627272;330909090;338322727;342990909;345454545;346954545;348940909;352831818;353222727;353877272;354586363;356781818;356945454;359554545;360436363;364272727;366886363;368545454;372563636;372940909;373990909;377140909;381527272,22
geometry/inverse-x/64,29329203,30842919,30431858,31327433,964799,29329203;29632743;29653982;29661946;29707964;29739823;29877876;29928318;29954867;29993805;30000000;30034513;30054867;30075221;30087610;30092035;30092920;30117699;30130088;30132743;30134513;30143362;30154867;30161061;30223008;30238053;30267256;30274336;30276991;30286725;30300884;30336283;30338938;30353982;30370796;30391150;30407964;30417699;30417699;30431858;30493805;30531858;30532743;30542477;30593805;30776106;30802654;30814159;30821238;30823893;30861946;30867256;30915044;30939823;30950442;31105309;31107079;31133628;31200000;31301769;31327433;31392035;31408849;31408849;31443362;31567256;31730088;31742477;31865486;31876106;31884955;31977876;31980530;32023008;32147787;32273451;32303539;32363716;33190265;33600000;34999115;35232743;36284955;36464601;37008849;37803539;49216814;50532743;53855752;58173451;59069911;69751327;72350442;76364601;76835398;79756637;82960176;83851327;86405309;86717699,113
geometry/inverse-y/64,29444897,31840816,30905102,32954081,964799,29444897;29582653;29624489;29639795;29735714;29743877;29836734;29857142;29865306;29944897;29989795;29994897;29998979;30011224;30059183;30076530;30080612;30082653;30121428;30145918;30145918;30155102;30176530;30183673;30193877;30235714;30274489;30279591;30285714;30319387;30347959;30352040;30372448;30391836;30650000;30691836;30721428;30859183;30902040;30905102;31019387;31073469;31205102;31231632;31313265;31317346;31620408;31707142;31780612;31810204;31871428;32062244;32065306;32125510;32207142;32248979;32269387;32282653;32295918;32316326;32954081;32992857;33061224;33187755;33283673;33292857;33748979;33771428;33790816;33792857;33835714;33986734;34613265;34859183;35083673;35174489;35295918;35415306;35823469;36174489;36329591;38193877;40361224;43070408;45065306;45432653;47645918;50058163;50775510;53537755;59471428;59831632;60328571;60770408;69414285;74407142;79565306;93708163;95240816;105385714,98
