case,min_ps,median_ps,median_lower_ps,median_upper_ps,median_confidence_ppm,ordered_samples_ps,iterations_per_sample
geometry/rotated-task-quarter-mib/64,465887500,495387500,486637500,504737500,964799,465887500;466187500;466575000;467062500;467525000;468050000;470212500;470312500;471262500;471737500;472887500;472987500;473262500;473612500;473900000;474325000;475212500;475537500;475687500;475800000;476137500;476862500;477112500;477975000;478000000;478037500;478250000;478375000;479375000;479700000;480025000;480100000;482337500;484737500;485037500;485075000;485250000;485825000;486337500;486637500;486937500;488100000;489150000;490462500;490962500;491200000;491962500;492775000;493387500;494837500;495937500;497387500;497812500;499012500;499250000;500062500;500362500;501000000;502637500;503625000;504737500;506887500;508800000;509650000;510125000;510725000;513637500;514062500;514262500;515300000;515937500;517937500;527937500;531037500;544050000;565812500;574650000;587962500;589025000;592412500;604925000;621650000;634525000;666187500;735175000;792625000;869612500;882600000;898525000;940150000;951550000;979262500;1029800000;1059250000;1109462500;1161950000;1289375000;1290775000;1626550000;1875012500,8
geometry/rotated-pair/64,464428571,505042856,489000000,532042857,964799,464428571;466857142;469471428;469900000;470800000;472685714;473500000;473928571;473942857;474142857;475142857;475485714;475871428;476942857;477885714;477942857;479314285;479542857;479814285;480900000;481000000;482014285;482171428;482328571;482814285;483214285;483842857;484042857;484442857;484685714;484757142;484828571;485228571;485585714;485885714;486000000;487142857;487342857;488028571;489000000;489800000;490742857;492685714;494200000;495114285;497528571;499171428;501014285;502957142;504914285;505171428;505471428;506657142;508914285;516671428;517742857;519385714;519471428;527500000;529385714;532042857;535328571;547671428;551600000;552714285;562900000;564185714;571614285;582228571;590157142;595142857;614457142;620185714;641800000;691714285;717485714;717514285;723700000;731485714;784271428;811728571;815957142;823414285;847714285;868171428;960042857;1072185714;1101542857;1200028571;1225600000;1227471428;1298800000;1337700000;1375071428;1402414285;1443900000;1478228571;1662457142;1762242857;1810228571,7
geometry/full-pair/64,535100000,559325000,551350000,579266666,964799,535100000;535250000;535800000;536650000;536750000;537583333;538300000;538466666;539483333;539516666;539616666;539666666;539683333;539700000;539950000;540750000;541016666;541016666;541016666;543400000;543416666;543600000;544750000;544850000;544883333;545050000;545183333;545633333;546350000;547216666;547550000;547616666;547633333;548000000;548400000;548550000;548616666;550600000;551100000;551350000;551666666;551916666;552350000;553950000;554100000;556050000;556266666;557966666;558500000;559300000;559350000;561816666;563483333;563950000;566566666;567416666;570433333;571383333;575316666;579166666;579266666;582716666;590883333;592150000;595633333;600616666;603500000;605133333;609033333;609300000;611533333;616883333;633116666;654766666;668300000;670200000;707233333;787800000;796066666;855983333;880766666;898600000;900850000;938183333;986466666;992250000;1021550000;1102866666;1212683333;1262366666;1312866666;1438166666;1459933333;1483750000;1541266666;1550216666;1634966666;1844350000;2501233333;2546833333,6
geometry/wide-task-quarter-mib/64,39894791,42407291,41856250,43525000,964799,39894791;40248958;40278125;40305208;40308333;40342708;40363541;40369791;40373958;40411458;40444791;40460416;40501041;40527083;40564583;40606250;40629166;40667708;40687500;40689583;40692708;40734375;40782291;40798958;40827083;40980208;41000000;41044791;41130208;41147916;41182291;41187500;41237500;41382291;41481250;41646875;41704166;41727083;41797916;41856250;42021875;42043750;42083333;42118750;42176041;42228125;42281250;42288541;42369791;42376041;42438541;42450000;42535416;42829166;43121875;43122916;43221875;43258333;43371875;43446875;43525000;43536458;43934375;44063541;44107291;44130208;44345833;44461458;45103125;45503125;46139583;46214583;46329166;46945833;47886458;48445833;49505208;50129166;50572916;51205208;54251041;54796875;57913541;60507291;64453125;68594791;72030208;72606250;74897916;77939583;86035416;87045833;88386458;95993750;98101041;99023958;118376041;121087500;121731250;128321875,96
geometry/tall-task-half-mib/64,39272058,43240441,42300000,44355882,964799,39272058;39835294;39985294;40007352;40229411;40358823;40438235;40492647;40582352;40679411;40679411;40719117;40816176;40817647;40926470;40942647;41030882;41048529;41127941;41152941;41295588;41307352;41404411;41436764;41479411;41495588;41544117;41566176;41629411;41633823;41719117;41767647;41877941;41886764;41983823;42019117;42036764;42204411;42219117;42300000;42317647;42400000;42416176;42426470;42460294;42629411;42763235;42807352;42845588;43202941;43277941;43325000;43580882;43591176;43622058;43641176;43707352;44067647;44183823;44327941;44355882;44402941;44736764;44833823;45114705;45139705;45320588;45995588;46335294;46380882;46448529;47170588;48367647;48945588;52383823;55427941;56544117;59045588;59364705;60741176;61394117;68102941;69289705;70786764;71677941;77170588;77252941;77991176;79486764;79814705;80736764;82433823;83600000;84873529;86025000;93747058;101377941;107775000;111657352;120601470,68
geometry/tall-task-quarter-mib/64,29179047,30793809,30488571,31240952,964799,29179047;29425714;29460952;29481904;29525714;29573333;29575238;29638095;29640000;29659047;29665714;29688571;29734285;29749523;29749523;29783809;29794285;29798095;29811428;29847619;29881904;29908571;29926666;29977142;29989523;30028571;30031428;30038095;30076190;30135238;30171428;30214285;30270476;30288571;30304761;30400000;30421904;30446666;30485714;30488571;30509523;30522857;30545714;30545714;30604761;30637142;30638095;30655238;30659047;30779047;30808571;30809523;30825714;30878095;30917142;31011428;31023809;31080000;31188571;31234285;31240952;31425714;31476190;31619047;31644761;31664761;31669523;31760000;31869523;31996190;32220000;32223809;32615238;32636190;32713333;33134285;33671428;33690476;33703809;33806666;33875238;33936190;34335238;34979047;35781904;39414285;39882857;42833333;51016190;53837142;58582857;69260952;71928571;72192380;74771428;80215238;82054285;95839047;98192380;121704761,105
geometry/tall-serial/64,169011764,184388235,178135294,214858823,964799,169011764;169217647;169588235;169623529;170017647;170058823;170070588;170588235;170694117;170800000;170994117;171105882;171276470;171352941;171405882;171488235;171505882;171823529;172217647;172476470;172505882;172582352;172694117;172788235;172852941;173088235;173605882;173617647;173941176;174176470;174341176;175070588;175252941;175382352;175435294;175441176;175476470;177105882;177411764;178135294;178464705;178594117;178905882;179429411;180105882;180452941;180858823;181494117;182452941;183676470;185100000;185141176;189858823;190870588;197317647;198441176;200011764;201170588;201841176;203111764;214858823;223517647;227847058;229405882;232611764;232841176;233247058;234805882;235305882;237158823;237241176;237417647;237905882;240270588;240429411;242570588;242917647;244482352;245188235;245388235;246323529;246335294;246941176;248129411;248147058;249335294;249500000;250494117;253782352;255335294;255429411;256811764;259717647;260752941;263923529;264811764;265094117;267688235;278311764;289594117,17
geometry/wide-serial/64,163911764,167485293,166729411,168041176,964799,163911764;164088235;164305882;164623529;164782352;164823529;164905882;164905882;164988235;165000000;165017647;165088235;165094117;165235294;165470588;165529411;165564705;165588235;165635294;165800000;165864705;165888235;165917647;165935294;166170588;166229411;166235294;166270588;166341176;166347058;166347058;166394117;166452941;166500000;166517647;166552941;166588235;166623529;166641176;166729411;166782352;167029411;167088235;167117647;167129411;167288235;167323529;167370588;167429411;167441176;167529411;167652941;167711764;167752941;167823529;167835294;167841176;167876470;167935294;167935294;168041176;168270588;168352941;168500000;168558823;168617647;168623529;168735294;168776470;168805882;168817647;168829411;169117647;169241176;169370588;169511764;169605882;169652941;169711764;170135294;170141176;170317647;170411764;170711764;170735294;170858823;171205882;171417647;172511764;172635294;173341176;173670588;174364705;174829411;175652941;176929411;177852941;179105882;246752941;259552941,17
geometry/inverse-x/64,29395789,31679473,30940000,32584210,964799,29395789;29658947;29742105;29862105;29866315;29898947;29909473;29940000;30026315;30042105;30056842;30069473;30094736;30193684;30210526;30212631;30277894;30311578;30321052;30325263;30336842;30347368;30348421;30384210;30384210;30429473;30478947;30496842;30531578;30589473;30591578;30604210;30673684;30754736;30768421;30787368;30806315;30837894;30886315;30940000;30946315;30966315;30976842;30981052;31181052;31267368;31273684;31412631;31491578;31658947;31700000;32030526;32055789;32123157;32143157;32186315;32240000;32454736;32534736;32582105;32584210;32591578;32633684;32656842;32962105;33110526;33282105;33780000;34197894;34392631;34524210;34683157;34891578;35252631;35356842;36210526;36347368;37605263;38735789;38868421;40678947;41044210;41618947;45140000;45285263;51367368;54201052;54510526;56717894;59240000;65930526;71496842;71773684;71818947;72298947;75969473;94706315;113003157;115800000;161209473,95
geometry/inverse-y/64,29398245,31560087,30955263,32828070,964799,29398245;29439473;29548245;29677192;29736842;29800877;29828947;29828947;29864912;29898245;29932456;29978947;29979824;30071052;30092105;30103508;30120175;30147368;30203508;30204385;30211403;30223684;30253508;30294736;30331578;30343859;30403508;30426315;30442982;30453508;30510526;30531578;30575438;30691228;30701754;30814912;30838596;30883333;30929824;30955263;31009649;31041228;31058771;31137719;31156140;31182456;31202631;31239473;31491228;31523684;31596491;31646491;31709649;31742982;31764035;31796491;31843859;31982456;32706140;32710526;32828070;32846491;32928947;33143859;33222807;33307894;33489473;33558771;34285087;34285964;34892982;35291228;35392982;36023684;36130701;38241228;41137719;41771929;43468421;47322807;50888596;52471929;54819298;55525438;58560526;59863157;64126315;65757017;66587719;73013157;74463157;81014035;82827192;84735087;95549122;105167543;108513157;110764035;127371052;133933333,114
